onset	duration	trial_type	rating	response_time	database	identifier
6.260	6.015	vp	3	2.423	iaps	4640
21.158	6.015	vp	3	1.670	iaps	4607
32.456	6.004	vp	2	1.796	iaps	7430
48.536	6.007	dn	2	2.724	iaps	2490
61.626	6.006	dn	3	3.167	iaps	9042
74.709	6.004	dn	2	2.664	iaps	6243
90.792	6.017	ip	4	1.779	iaps	8180
103.493	6.016	ip	3	2.201	iaps	2208
116.991	6.015	ip	4	1.833	iaps	5820
133.074	6.012	vn	3	2.210	iaps	6250
145.858	6.010	vn	3	2.237	iaps	9530
159.225	6.007	vn	3	1.890	iaps	4621
175.308	6.004	dp	3	2.548	iaps	4680
189.291	6.016	dp	2	2.169	iaps	8210
201.491	6.016	dp	2	1.952	iaps	7260
217.589	6.015	in	4	2.380	iaps	6821
231.087	6.015	in	2	2.241	iaps	9331
243.757	6.010	in	4	2.084	iaps	9320
259.832	6.008	vt	1	1.541	iaps	7950
272.907	6.016	vt	1	1.964	iaps	7050
286.007	6.016	vt	1	1.520	iaps	7090
302.106	6.017	dn	3	2.664	iaps	9621
316.705	6.016	dn	2	2.075	iaps	9620
328.302	6.016	dn	1	2.138	iaps	9830
344.399	6.007	ip	3	2.468	iaps	2345
358.272	6.008	ip	4	1.652	iaps	2310
370.538	6.006	ip	3	2.090	iaps	8341
386.622	6.016	vn	3	1.261	iaps	6550
400.422	6.016	vn	3	2.293	iaps	2053
412.821	6.015	vn	4	1.675	iaps	9432
428.918	6.015	dp	3	1.969	iaps	1463
443.805	6.009	dp	2	1.907	iaps	8090
455.071	6.008	dp	2	1.756	iaps	1722
471.144	6.010	vt	1	0.946	iaps	2214
484.024	6.013	vt	1	1.418	iaps	7035
497.320	6.017	vt	2	1.509	iaps	7020
513.419	6.015	in	3	1.904	iaps	9495
527.817	6.015	in	4	1.416	iaps	6510
539.597	6.005	in	4	1.507	iaps	9001
555.669	6.008	vp	2	1.436	iaps	8370
570.036	6.005	vp	3	1.482	iaps	8496
581.836	6.017	vp	3	2.113	iaps	5000
