onset	duration	offer	proposer	face_onset	offer_onset	decision_onset	response_time	feedback_onset	response
1.071349313	14.11717299	4	PRP1	1.071349313	3.172823513	8.188185475	1.370451006	9.558636481	-1
17.327174	14.02553939	8	computer	17.327174	19.33570443	24.35241998	0.708789868	25.06120985	1
33.49431471	14.02165436	9	PRP2	33.49431471	35.50877738	40.51567094	0.721214113	41.23688505	1
50.64423981	14.02997269	3	PRP3	50.64423981	52.65694297	57.673904	1.571209534	59.24511354	-1
67.81068383	14.02989471	4	computer	67.81068383	69.82357105	74.84026076	0.539054586	75.37931534	-1
83.96150085	14.02885611	3	PRP4	83.96150085	85.97260944	90.9900518	0.390265248	91.38031705	1
99.11037043	14.02767448	1	computer	99.11037043	101.1213955	106.1377397	0.637766411	106.7755061	-1
115.2469425	14.02157329	3	computer	115.2469425	117.25545	122.2680074	1.117789031	123.3857964	-1
130.3805241	14.01823818	11	PRP5	130.3805241	132.3885126	137.3984223	0.910363683	138.308786	1
148.5091255	14.01893952	1	computer	148.5091255	150.5223088	155.5278325	0.535867818	156.0637004	-1
164.6419513	14.03032322	10	PRP2	164.6419513	166.6549424	171.6717137	0.661339112	172.3330528	1
182.7926325	14.03006922	2	PRP3	182.7926325	184.8051777	189.8224194	0.672313315	190.4947327	-1
197.9417376	14.02803722	4	PRP3	197.9417376	199.9532045	204.9695456	0.631130309	205.6006759	1
215.0769222	14.02330045	2	computer	215.0769222	217.0832498	222.0999084	0.980527572	223.080436	-1
231.2131152	14.01756333	3	PRP1	231.2131152	233.220902	238.2303791	1.049758383	239.2801375	1
246.3417198	14.01882389	10	PRP5	246.3417198	248.3540806	253.3602356	0.340313658	253.7005493	1
262.4747727	14.02975352	8	PRP5	262.4747727	264.4867706	269.5042022	0.531428689	270.0356309	1
278.6222632	14.03194266	1	PRP1	278.6222632	280.6376178	285.6538741	0.589285362	286.2431595	-1
294.7900199	14.02896969	11	computer	294.7900199	296.8030051	301.8187297	0.480511026	302.2992407	1
310.9405884	14.02560358	9	computer	310.9405884	312.9492007	317.9659064	0.435186098	318.4010925	1
326.0764215	14.02006688	3	computer	326.0764215	328.086015	333.0962326	1.772518981	334.8687516	1
342.2109851	14.01581318	1	PRP6	342.2109851	344.218952	349.2264807	1.416269254	350.64275	-1
357.3413122	14.02812718	4	PRP6	357.3413122	359.3527299	364.3691729	0.759832682	365.1290056	1
372.4892883	14.03058589	8	PRP6	372.4892883	374.5020558	379.5196156	0.539407122	380.0590228	1
388.6399644	14.02918429	8	PRP4	388.6399644	390.6525135	395.6688589	0.492636722	396.1614957	1
403.7886762	14.02780908	9	PRP4	403.7886762	405.7989742	410.8161841	0.552892437	411.3690765	1
420.9284127	14.01783932	9	computer	420.9284127	422.934681	427.9459743	0.457366749	428.4033411	1
436.0545678	14.01414315	10	computer	436.0545678	438.0604355	443.068512	0.535678783	443.6041908	1
451.1753059	14.01564836	1	PRP3	451.1753059	453.184393	458.1906408	1.447579267	459.6382201	-1
466.3048136	14.02961572	11	computer	466.3048136	468.3179485	473.3341853	0.602354017	473.9365393	1
482.4535876	14.03111659	9	PRP5	482.4535876	484.4679823	489.4844727	0.894905651	490.3793784	1
499.6019203	14.03016505	2	PRP1	499.6019203	501.6155337	506.6317848	0.719946515	507.3517313	-1
516.7543343	14.02526066	1	PRP4	516.7543343	518.7621705	523.7793189	1.583443983	525.3627629	1
531.8933209	14.01673274	8	PRP2	531.8933209	533.8999707	538.9097881	0.570678772	539.4804668	1
550.0299032	14.02012523	11	PRP6	550.0299032	552.0398969	557.0497723	0.899091501	557.9488638	1
567.1591976	14.02482372	11	PRP2	567.1591976	569.1684948	574.1837787	0.55114131	574.7349201	1
