participant_id	age_group	group	pre_num_commission	pre_pct_commission	pre_num_omission	pre_pct_omission	pre_meanRT_go	pre_stdRT_go	pre_meanRT_goBeforeSuccessNogo	pre_meanRT_goBeforeFailedNogo	post_num_commission	post_pct_commission	post_num_omission	post_pct_omission	post_meanRT_go	post_stdRT_go	post_meanRT_goBeforeSuccessNogo	post_meanRT_goBeforeFailedNogo
sub-5001	ya	1	7	28	0	0	484.255	137.865097	538.6964286	384.8125	7	28	0	0	452.0964467	104.7082748	489.4333333	383.5
sub-5002	ya	1	13	52	0	0	361.435	71.50686646	366.3611111	343.4444444	9	36	0	0	381.3	56.56232452	387.5833333	369.2916667
sub-5003	ya	1	13	52	0	0	356.7575758	66.10951996	370.5	337.625	10	40	0	0	361.7070707	71.15325928	370.8653846	339.1
sub-5004	ya	1	15	60	1	0.5	393.4974874	101.3285904	412.4722222	364.8888889	6	24	0	0	407.99	80.93628693	408.1964286	428
sub-5005	ya	1	24	96	1	0.5	327.5561224	74.46431732	412	322.4558824	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5006	ya	1	21	84	0	0	356.0322581	132.842392	574.75	328.6470588	20	80	1	0.5	335.7289157	112.0173874	368.6875	267.6607143
sub-5007	ya	1	6	24	1	0.5	558.3535354	184.9455566	639.7833333	339.25	0	0	2	1	654.3535354	130.664505	633.9166667	n/a
sub-5008	ya	1	23	92	0	0	332.0974359	64.59664917	328.25	331.828125	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5009	ya	1	21	84	0	0	372.9	91.34863281	372.5	381.8035714	14	56	0	0	388.62	96.22714996	394.5625	366.55
sub-5010	ya	1	10	40	7	3.5	631.3687151	258.6351929	771.1136364	337.3	1	4	0	0	671.76	130.9934692	714.1176471	337.5
sub-5011	ya	1	16	64	3	1.5	356.1639344	77.00695801	351.0833333	350.425	10	40	3	1.5	426.7395833	153.5431976	453.1590909	361.0833333
sub-5012	ya	1	20	80	4	2	344.591716	90.82108307	426.9375	262.1346154	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5013	ya	1	23	92	12	6	334.2926829	184.3199615	138.5	253.1538462	23	92	22	11	373.4953271	190.6122894	n/a	285.2272727
sub-5014	ya	1	3	12	2	1	467.5837563	116.4002151	450.9264706	449.25	0	0	1	0.5	619.2964824	80.8957901	614.0138889	n/a
sub-5015	ya	1	14	56	0	0	417.5376884	77.93177032	429.0277778	373.1666667	11	44	0	0	484.040201	142.0298615	522.3181818	427.8214286
sub-5016	ya	1	7	28	1	0.5	473.5353535	87.03979492	461.75	427.4166667	3	12	2	1	604.5353535	109.7379761	628.359375	499.75
sub-5017	ya	1	22	88	3	1.5	346.8601036	66.44198608	338.875	342.5178571	23	92	0	0	346.7552083	120.8084793	365.125	335.90625
sub-5018	ya	1	8	32	1	0.5	433.2211055	74.88551331	447.125	402.75	8	32	0	0	457.21	129.3731537	480.3269231	369.65
sub-5019	ya	1	14	56	13	6.5	373.4244186	118.4242096	324.09375	343	19	76	5	2.5	320.1321839	93.9109726	321.7916667	282.775
sub-5020	ya	1	9	36	0	0	396.43	99.81755066	385.4090909	381.3928571	2	8	0	0	507.565	140.3988037	517.8125	428.375
sub-5021	ya	1	20	80	3	1.5	290.7619048	54.0065155	278.0625	265.1346154	4	16	1	0.5	465.6884422	117.4468842	461.9852941	381
sub-5022	ya	1	12	48	0	0	429.4773869	101.7147827	421.975	400.21875	12	48	1	0.5	411.0913978	107.2643509	428.875	330.21875
sub-5023	ya	1	0	0	2	1	695.7979798	110.8454361	673.2083333	n/a	0	0	0	0	610.43	112.6981354	588.8333333	n/a
sub-5024	ya	1	14	56	1	0.5	359.1538462	99.60517883	362.1388889	314.75	15	60	1	0.5	334.5284974	101.946167	369.53125	295.0555556
sub-5025	ya	1	3	12	1	0.5	577.0151515	101.1556778	588.5333333	517.4166667	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5026	ya	1	6	24	1	0.5	636.4924623	124.5043488	672.8666667	538.375	6	24	2	1	621.9340102	160.0173187	610.2166667	534.5833333
sub-5027	ya	1	20	80	2	1	314.1297297	65.01692963	300	292.5	22	88	7	3.5	294.4	62.21627426	229.3333333	258.8571429
