onset	duration	trial_type	rating	response_time	database	identifier
6.263	6.004	vp	2	2.571	iaps	4608
21.146	6.017	vp	1	1.581	iaps	4603
32.445	6.017	vp	1	1.382	iaps	5779
48.544	6.015	dn	3	2.175	iaps	1275
61.659	6.015	dn	4	1.506	iaps	7359
74.756	6.006	dn	4	2.182	iaps	2141
90.819	6.010	ip	2	1.782	iaps	8162
103.512	6.004	ip	1	1.490	iaps	2311
116.995	6.017	ip	4	1.753	iaps	5270
133.095	6.016	vn	2	2.100	iaps	2276
145.893	6.016	vn	4	1.882	iaps	9280
159.290	6.016	vn	4	1.992	iaps	1525
175.388	6.006	dp	1	1.544	iaps	4626
189.360	6.008	dp	3	2.200	iaps	8380
201.528	6.004	dp	2	2.132	iaps	5623
217.611	6.016	in	4	2.236	iaps	6312
231.110	6.016	in	3	1.964	iaps	9000
243.809	6.016	in	4	2.405	iaps	8230
259.906	6.016	vt	1	1.649	iaps	7491
272.992	6.011	vt	2	2.334	iaps	7185
286.059	6.008	vt	1	2.190	iaps	7235
302.142	6.004	dn	3	1.805	iaps	9584
316.725	6.016	dn	4	1.997	iaps	9340
328.325	6.017	dn	4	2.759	iaps	9622
344.441	6.016	ip	1	1.722	iaps	2650
358.338	6.015	ip	3	2.630	iaps	2352
370.635	6.006	ip	3	2.570	iaps	8490
386.699	6.009	vn	4	2.313	iaps	6242
400.491	6.004	vn	4	2.742	iaps	1111
412.861	6.013	vn	4	2.727	iaps	9120
428.957	6.016	dp	1	1.672	iaps	1340
443.856	6.015	dp	3	2.111	iaps	8030
455.154	6.015	dp	1	2.230	iaps	1999
471.239	6.010	vt	3	2.555	iaps	5510
484.115	6.009	vt	3	2.229	iaps	7170
497.380	6.010	vt	2	2.503	iaps	7006
513.457	6.016	in	4	3.082	iaps	9250
527.856	6.016	in	4	2.902	iaps	3061
539.655	6.016	in	1	2.034	iaps	6530
555.753	6.016	vp	3	2.206	iaps	8503
570.138	6.011	vp	2	3.001	iaps	8531
581.914	6.008	vp	2	4.001	iaps	4670
