trial	response	correct_response	accuracy	reaction_time
1	j	j	1	879
2	k	k	1	975
3	j	j	1	1264
4	j	l	0	1092
5	k	k	1	1026
6	l	l	1	939
7	k	k	1	911
8	l	l	1	1237
9	k	k	1	1255
10	l	l	1	1336
11	l	l	1	1672
12	k	k	1	1353
13	k	k	1	1179
14	k	k	1	1104
15	k	k	1	1479
16	k	k	1	840
17	j	j	1	681
18	l	l	1	705
19	k	k	1	955
20	l	l	1	1138
