trial	response	correct_response	accuracy	reaction_time
1	n/a	j	0	n/a
2	j	l	0	1003
3	l	j	0	573
4	k	l	0	896
5	l	k	0	900
6	j	k	0	486
7	l	l	1	695
8	l	k	0	978
9	j	k	0	1593
10	k	k	1	1088
11	l	j	0	1515
12	l	l	1	1287
13	j	j	1	1331
14	k	l	0	1028
15	k	j	0	1529
16	j	j	1	905
17	l	l	1	1008
18	l	k	0	1603
19	j	l	0	1215
