onset	duration	trial_type	rating	response_time	database	identifier
6.252	6.012	dp	2	1.128	iaps	4680
18.648	6.016	dp	2	0.967	iaps	8341
32.447	6.017	dp	1	1.581	iaps	5820
48.545	6.015	vn	2	1.843	iaps	9620
62.159	6.015	vn	3	1.052	iaps	9042
74.757	6.005	vn	1	0.969	iaps	6250
90.821	6.009	ip	3	1.261	iaps	7260
105.785	6.011	ip	4	1.043	iaps	4607
116.979	6.016	ip	3	1.028	iaps	5000
133.079	6.017	dn	2	1.619	iaps	2053
146.177	6.016	dn	2	1.661	iaps	9320
159.275	6.016	dn	1	1.191	iaps	6821
175.345	6.010	vt	1	1.108	iaps	7950
189.211	6.008	vt	1	1.018	iaps	7035
201.483	6.011	vt	1	0.999	iaps	7090
217.578	6.016	in	2	1.494	iaps	2490
230.278	6.016	in	2	1.133	iaps	9530
243.776	6.015	in	3	0.749	iaps	9432
259.874	6.015	vp	2	1.240	iaps	8180
274.243	6.010	vp	2	1.678	iaps	8496
286.010	6.007	vp	1	0.920	iaps	2310
302.094	6.004	dn	2	1.723	iaps	9001
314.877	6.016	dn	2	1.634	iaps	9621
328.276	6.017	dn	1	0.903	iaps	9331
344.375	6.020	vp	3	1.271	iaps	8370
357.972	6.016	vp	1	0.813	iaps	2345
370.570	6.006	vp	2	1.021	iaps	1463
386.634	6.009	in	3	2.252	iaps	9830
400.828	6.014	in	4	1.717	iaps	6550
412.829	6.013	in	2	1.168	iaps	4621
428.925	6.016	vt	1	1.658	iaps	2214
443.723	6.016	vt	1	0.898	iaps	7020
455.122	6.015	vt	1	1.350	iaps	7050
471.202	6.005	dp	2	1.943	iaps	8090
486.166	6.008	dp	2	2.181	iaps	4640
497.341	6.006	dp	2	3.492	iaps	2208
513.424	6.017	vn	2	2.072	iaps	9495
527.124	6.016	vn	1	2.270	iaps	6243
539.623	6.015	vn	1	1.547	iaps	6510
555.720	6.016	ip	3	1.710	iaps	1722
568.207	6.010	ip	3	1.507	iaps	7430
581.882	6.008	ip	3	1.448	iaps	8210
