trial	response	correct_response	accuracy	reaction_time
1	8	8	1	1135
2	14	14	1	596
3	16	16	1	535
4	11	11	1	636
5	6	6	1	300
6	n/a	10	0	n/a
7	13	13	1	525
8	7	7	1	527
9	3	3	1	317
10	7	7	1	1069
11	10	10	1	737
12	11	11	1	738
13	10	10	1	811
14	8	8	1	638
15	14	14	1	1249
16	15	15	1	1655
17	10	10	1	734
18	9	9	1	683
19	8	8	1	626
20	12	12	1	878
21	13	13	1	1168
22	5	5	1	338
23	8	9	0	791
24	11	11	1	613
25	4	4	1	951
26	9	7	0	262
27	14	14	1	901
28	13	13	1	411
29	9	9	1	460
30	6	6	1	219
