trial	trial_type	stimulus	fontsize	response	accuracy	reactiontime
1	go	1	13	1	1	712
2	go	4	10	1	1	372
3	go	1	13	1	1	387
4	go	1	16	1	1	321
5	go	5	7	1	1	360
6	go	1	13	1	1	306
7	go	8	10	1	1	314
8	go	6	7	1	1	305
9	go	5	13	1	1	370
10	go	7	16	1	1	314
11	go	7	16	1	1	348
12	go	9	16	1	1	359
13	go	2	4	1	1	433
14	nogo	3	4	0	1	n/a
15	go	8	13	1	1	658
16	go	5	7	1	1	380
17	go	5	16	1	1	316
18	go	6	4	1	1	387
19	go	1	16	1	1	379
20	go	8	13	1	1	395
21	go	9	4	1	1	353
22	go	8	7	1	1	375
23	go	2	10	1	1	350
24	go	7	10	1	1	340
25	go	6	16	1	1	312
26	go	4	7	1	1	349
27	go	8	10	1	1	342
28	go	6	10	1	1	334
29	go	8	16	1	1	311
30	go	2	7	1	1	325
31	go	9	4	1	1	312
32	go	8	10	1	1	310
33	go	9	4	1	1	292
34	go	5	4	1	1	465
35	go	2	13	1	1	362
36	go	4	13	1	1	539
37	nogo	3	16	1	0	373
38	go	5	16	1	1	515
39	go	5	16	1	1	490
40	go	6	4	1	1	466
41	nogo	3	16	1	0	541
42	go	2	4	1	1	583
43	go	7	13	1	1	712
44	go	5	7	1	1	591
45	go	7	4	1	1	629
46	go	8	7	1	1	431
47	go	2	4	1	1	482
48	go	7	7	1	1	538
49	go	4	7	1	1	431
50	go	1	4	1	1	355
51	nogo	3	13	1	0	428
52	go	7	7	1	1	452
53	go	4	10	1	1	563
54	go	6	4	1	1	628
55	go	4	4	1	1	486
56	go	8	10	1	1	750
57	go	8	16	1	1	489
58	go	4	4	1	1	560
59	go	1	13	1	1	529
60	go	9	4	1	1	433
61	go	9	10	1	1	470
62	go	4	10	1	1	439
63	go	8	4	1	1	375
64	go	2	13	1	1	425
65	go	2	16	1	1	439
66	go	8	7	1	1	434
67	go	7	7	1	1	402
68	nogo	3	7	0	1	n/a
69	go	4	13	1	1	620
70	go	7	7	1	1	370
71	go	1	13	1	1	539
72	go	4	16	1	1	337
73	nogo	3	10	0	1	n/a
74	go	5	16	1	1	509
75	go	9	16	1	1	393
76	go	8	16	1	1	329
77	go	4	10	1	1	505
78	go	7	4	1	1	326
79	go	4	13	1	1	348
80	go	1	4	1	1	384
81	go	2	16	1	1	422
82	go	6	13	1	1	439
83	go	6	13	1	1	475
84	go	4	10	1	1	397
85	go	6	13	1	1	360
86	go	6	10	1	1	452
87	go	9	7	1	1	511
88	go	9	4	1	1	618
89	go	7	10	1	1	474
90	go	6	7	1	1	624
91	go	4	7	1	1	425
92	go	1	7	1	1	339
93	go	7	16	1	1	434
94	nogo	3	7	0	1	n/a
95	nogo	3	13	1	0	506
96	go	9	13	1	1	518
97	go	8	16	1	1	352
98	go	2	10	1	1	547
99	go	7	4	1	1	404
100	go	6	10	1	1	351
101	go	6	16	1	1	339
102	go	1	10	1	1	307
103	go	9	16	1	1	381
104	go	9	16	1	1	322
105	nogo	3	7	1	0	313
106	go	1	7	1	1	398
107	go	4	7	1	1	598
108	go	1	7	1	1	665
109	go	1	4	1	1	636
110	go	2	10	1	1	345
111	nogo	3	16	0	1	n/a
112	go	6	10	1	1	843
113	go	8	16	1	1	396
114	go	5	10	1	1	343
115	go	9	13	1	1	487
116	nogo	3	13	0	1	n/a
117	go	9	16	1	1	770
118	go	5	10	1	1	398
119	go	5	13	1	1	434
120	go	4	10	1	1	469
121	go	2	16	1	1	439
122	go	6	16	1	1	407
123	go	8	10	1	1	332
124	nogo	3	10	1	0	392
125	go	8	7	1	1	375
126	go	4	4	1	1	395
127	go	4	10	1	1	428
128	go	2	7	1	1	402
129	go	5	13	1	1	394
130	go	2	13	1	1	500
131	go	1	13	1	1	559
