trial	response	correct_response	accuracy	reaction_time
1	n/a	l	0	n/a
2	k	k	1	962
3	l	l	1	1372
4	j	k	0	844
5	l	l	1	964
6	l	j	0	1408
7	k	l	0	930
8	l	j	0	1382
9	k	k	1	871
10	l	l	1	1057
11	k	k	1	1362
12	j	l	0	1453
13	k	k	1	1138
14	l	l	1	1083
15	k	l	0	1019
16	l	k	0	1554
17	l	l	1	994
18	l	j	0	1386
19	j	j	1	1280
20	j	j	1	1348
