trial	response	correct_response	accuracy	reaction_time
1	k	k	1	1640
2	j	j	1	941
3	l	j	0	1683
4	k	j	0	726
5	j	j	1	622
6	l	l	1	845
7	j	j	1	1360
8	k	k	1	513
9	j	k	0	1351
10	j	l	0	1583
11	j	j	1	869
12	l	l	1	773
13	j	j	1	833
14	k	k	1	821
15	l	k	0	768
16	k	l	0	1215
17	j	j	1	1183
18	l	l	1	791
19	k	k	1	1457
20	j	j	1	995
