trial	response	correct_response	accuracy	reaction_time
1	7	7	1	242
2	10	10	1	877
3	9	9	1	202
4	n/a	7	0	n/a
5	6	6	1	1920
6	9	9	1	600
7	14	14	1	1161
8	15	15	1	2133
9	10	10	1	1256
10	8	8	1	854
11	16	16	1	1203
12	13	13	1	421
13	10	10	1	901
14	n/a	9	0	n/a
15	8	8	1	625
16	13	13	1	1476
17	9	9	1	631
18	7	7	1	31
19	8	8	1	149
20	9	9	1	15
21	12	12	1	2318
22	14	14	1	929
23	13	13	1	646
24	14	9	0	1726
25	6	7	0	218
26	10	8	0	767
27	10	10	1	938
28	12	12	1	1911
29	11	11	1	724
30	8	8	1	789
