onset	duration	trial_type	rating	response_time	database	identifier
6.243	6.004	vp	3	1.402	iaps	4608
21.126	6.017	vp	4	1.414	iaps	4603
32.425	6.017	vp	3	1.383	iaps	5779
48.525	6.014	dn	1	4.001	iaps	1275
61.639	6.015	dn	2	1.847	iaps	7359
74.736	6.006	dn	n/a	n/a	iaps	2141
90.799	6.009	ip	4	1.105	iaps	8162
103.492	6.004	ip	3	1.681	iaps	2311
116.975	6.016	ip	n/a	n/a	iaps	5270
133.075	6.016	vn	2	0.983	iaps	2276
145.873	6.016	vn	3	1.611	iaps	9280
159.257	6.012	vn	4	1.415	iaps	1525
175.334	6.007	dp	n/a	n/a	iaps	4626
189.306	6.008	dp	4	0.819	iaps	8380
201.474	6.006	dp	1	3.999	iaps	5623
217.556	6.017	in	4	1.117	iaps	6312
231.057	6.016	in	3	0.919	iaps	9000
243.756	6.016	in	4	1.801	iaps	8230
259.853	6.015	vt	1	3.995	iaps	7491
272.933	6.005	vt	1	2.710	iaps	7185
286.006	6.008	vt	3	1.903	iaps	7235
302.089	6.004	dn	n/a	n/a	iaps	9584
316.673	6.016	dn	2	1.187	iaps	9340
328.273	6.016	dn	1	0.826	iaps	9622
344.371	6.020	ip	4	1.799	iaps	2650
358.268	6.015	ip	4	1.165	iaps	2352
370.549	6.006	ip	4	1.686	iaps	8490
386.613	6.009	vn	1	2.740	iaps	6242
400.387	6.005	vn	3	1.629	iaps	1111
412.795	6.009	vn	2	1.239	iaps	9120
428.888	6.016	dp	2	1.850	iaps	1340
443.786	6.016	dp	3	2.242	iaps	8030
455.084	6.015	dp	1	0.876	iaps	1999
471.169	6.011	vt	1	1.332	iaps	5510
484.037	6.008	vt	4	1.770	iaps	7170
497.320	6.005	vt	3	1.628	iaps	7006
513.390	6.012	in	4	1.507	iaps	9250
527.786	6.016	in	4	1.614	iaps	3061
539.585	6.016	in	1	1.694	iaps	6530
555.683	6.015	vp	2	1.649	iaps	8503
570.063	6.005	vp	1	1.413	iaps	8531
581.844	6.008	vp	3	3.708	iaps	4670
