onset	duration	trial_type	rating	response_time	database	identifier
6.261	6.011	vp	4	2.480	iaps	4608
21.155	6.017	vp	2	1.742	iaps	4603
32.455	6.016	vp	2	2.243	iaps	5779
48.553	6.016	dn	1	2.328	iaps	1275
61.667	6.016	dn	2	2.235	iaps	7359
74.765	6.005	dn	2	2.788	iaps	2141
90.829	6.009	ip	3	2.006	iaps	8162
103.492	6.011	ip	4	1.439	iaps	2311
116.987	6.017	ip	4	3.024	iaps	5270
133.087	6.016	vn	1	3.312	iaps	2276
145.885	6.015	vn	4	2.884	iaps	9280
159.283	6.015	vn	4	1.686	iaps	1525
175.369	6.010	dp	3	1.855	iaps	4626
189.345	6.008	dp	3	2.862	iaps	8380
201.509	6.010	dp	3	2.678	iaps	5623
217.586	6.017	in	4	2.801	iaps	6312
231.085	6.017	in	3	2.300	iaps	9000
243.784	6.016	in	4	2.098	iaps	8230
259.882	6.015	vt	1	2.422	iaps	7491
272.979	6.005	vt	1	1.950	iaps	7185
286.051	6.009	vt	1	1.797	iaps	7235
302.117	6.006	dn	2	2.619	iaps	9584
316.701	6.017	dn	3	1.775	iaps	9340
328.300	6.017	dn	3	1.924	iaps	9622
344.400	6.017	ip	2	2.611	iaps	2650
358.297	6.016	ip	4	2.393	iaps	2352
370.566	6.011	ip	4	2.653	iaps	8490
386.642	6.008	vn	3	2.337	iaps	6242
400.416	6.005	vn	2	3.750	iaps	1111
412.819	6.013	vn	4	2.699	iaps	9120
428.917	6.016	dp	3	1.435	iaps	1340
443.815	6.015	dp	3	2.674	iaps	8030
455.113	6.015	dp	1	1.308	iaps	1999
471.198	6.011	vt	1	1.658	iaps	5510
484.065	6.009	vt	1	2.389	iaps	7170
497.339	6.010	vt	1	1.813	iaps	7006
513.418	6.013	in	4	1.540	iaps	9250
527.815	6.016	in	4	1.672	iaps	3061
539.614	6.016	in	4	1.779	iaps	6530
555.712	6.016	vp	1	2.145	iaps	8503
570.091	6.005	vp	1	2.710	iaps	8531
581.857	6.007	vp	3	2.512	iaps	4670
