ibi	time	condition	order
913	2	baseline	1
865	2	baseline	1
884	2	baseline	1
916	2	baseline	1
892	2	baseline	1
870	2	baseline	1
881	2	baseline	1
1843	2	baseline	1
1800	2	baseline	1
1765	2	baseline	1
805	2	baseline	1
843	2	baseline	1
892	2	baseline	1
892	2	baseline	1
857	2	baseline	1
897	2	baseline	1
900	2	baseline	1
894	2	baseline	1
1724	2	baseline	1
1778	2	baseline	1
722	2	baseline	1
1137	2	baseline	1
822	2	baseline	1
846	2	baseline	1
865	2	baseline	1
894	2	baseline	1
867	2	baseline	1
878	2	baseline	1
908	2	baseline	1
1727	2	baseline	1
1762	2	baseline	1
911	2	baseline	1
1668	2	baseline	1
884	2	baseline	1
822	2	baseline	1
854	2	baseline	1
843	2	baseline	1
1708	2	baseline	1
1808	2	baseline	1
873	2	baseline	1
824	2	baseline	1
867	2	baseline	1
894	2	baseline	1
1749	2	baseline	1
940	2	baseline	1
894	2	baseline	1
859	2	baseline	1
1697	2	baseline	1
1738	2	baseline	1
824	2	baseline	1
948	2	baseline	1
816	2	baseline	1
862	2	baseline	1
876	2	baseline	1
862	2	baseline	1
862	2	baseline	1
905	2	baseline	1
892	2	baseline	1
1727	2	baseline	1
1765	2	baseline	1
1800	2	baseline	1
814	2	baseline	1
843	2	baseline	1
854	2	baseline	1
867	2	baseline	1
851	2	baseline	1
867	2	baseline	1
846	2	baseline	1
902	2	baseline	1
897	2	baseline	1
859	2	baseline	1
908	2	baseline	1
892	2	baseline	1
873	2	baseline	1
889	2	baseline	1
927	2	baseline	1
865	2	baseline	1
900	2	baseline	1
905	2	baseline	1
862	2	baseline	1
892	2	baseline	1
889	2	baseline	1
851	2	baseline	1
865	2	baseline	1
892	2	baseline	1
859	2	baseline	1
876	2	baseline	1
881	2	baseline	1
851	2	baseline	1
1681	2	baseline	1
1781	2	baseline	1
1746	2	baseline	1
1681	2	baseline	1
1608	2	baseline	1
800	2	baseline	1
924	2	baseline	1
851	2	baseline	1
911	2	baseline	1
905	2	baseline	1
892	2	baseline	1
940	2	baseline	1
951	2	baseline	1
940	2	baseline	1
916	2	baseline	1
964	2	baseline	1
929	2	baseline	1
902	2	baseline	1
1005	2	baseline	1
919	2	baseline	1
929	2	baseline	1
937	2	baseline	1
908	2	baseline	1
916	2	baseline	1
919	2	baseline	1
900	2	baseline	1
894	2	baseline	1
913	2	baseline	1
892	2	baseline	1
902	2	baseline	1
908	2	baseline	1
886	2	baseline	1
1730	2	baseline	1
951	2	baseline	1
878	2	baseline	1
873	2	baseline	1
892	2	baseline	1
1705	2	baseline	1
1223	2	baseline	1
555	2	baseline	1
1811	2	baseline	1
1719	2	baseline	1
1684	2	baseline	1
867	2	baseline	1
822	2	baseline	1
870	2	baseline	1
1722	2	baseline	1
873	2	baseline	1
878	2	baseline	1
663	2	baseline	1
1078	2	baseline	1
835	2	baseline	1
849	2	baseline	1
870	2	baseline	1
876	2	baseline	1
870	2	baseline	1
854	2	baseline	1
889	2	baseline	1
905	2	baseline	1
832	2	baseline	1
908	2	baseline	1
916	2	baseline	1
943	2	baseline	1
854	2	baseline	1
913	2	baseline	1
884	2	baseline	1
894	2	baseline	1
913	2	baseline	1
897	2	baseline	1
859	2	baseline	1
905	2	baseline	1
889	2	baseline	1
881	2	baseline	1
919	2	baseline	1
894	2	baseline	1
884	2	baseline	1
905	2	baseline	1
911	2	baseline	1
1786	2	baseline	1
932	2	baseline	1
867	2	baseline	1
878	2	baseline	1
908	2	baseline	1
908	2	baseline	1
897	2	baseline	1
913	2	baseline	1
894	2	baseline	1
900	2	baseline	1
924	2	baseline	1
929	2	baseline	1
900	2	baseline	1
916	2	baseline	1
935	2	baseline	1
889	2	baseline	1
908	2	baseline	1
927	2	baseline	1
886	2	baseline	1
897	2	baseline	1
913	2	baseline	1
905	2	baseline	1
894	2	baseline	1
892	2	baseline	1
919	2	baseline	1
878	2	baseline	1
900	2	baseline	1
908	2	baseline	1
862	2	baseline	1
905	2	baseline	1
905	2	baseline	1
884	2	baseline	1
894	2	baseline	1
897	2	baseline	1
886	2	baseline	1
865	2	baseline	1
905	2	baseline	1
911	2	baseline	1
873	2	baseline	1
908	2	baseline	1
916	2	baseline	1
876	2	baseline	1
905	2	baseline	1
929	2	baseline	1
878	2	baseline	1
897	2	baseline	1
916	2	baseline	1
873	2	baseline	1
897	2	baseline	1
919	2	baseline	1
881	2	baseline	1
1746	2	baseline	1
948	2	baseline	1
854	2	baseline	1
876	2	baseline	1
889	2	baseline	1
1722	2	baseline	1
954	2	baseline	1
881	2	baseline	1
908	2	baseline	1
894	2	baseline	1
881	2	baseline	1
905	2	baseline	1
916	2	baseline	1
892	2	baseline	1
1266	2	baseline	1
474	2	baseline	1
1899	2	baseline	1
921	2	baseline	1
827	2	baseline	1
857	2	baseline	1
916	2	baseline	1
878	2	baseline	1
865	2	baseline	1
897	2	baseline	1
897	2	baseline	1
867	2	baseline	1
902	2	baseline	1
894	2	baseline	1
865	2	baseline	1
886	2	baseline	1
902	2	baseline	1
865	2	baseline	1
876	2	baseline	1
913	2	baseline	1
878	2	baseline	1
1048	2	baseline	1
660	2	baseline	1
695	2	baseline	1
1072	2	baseline	1
924	2	baseline	1
859	2	baseline	1
854	2	baseline	1
870	2	baseline	1
865	2	baseline	1
857	2	baseline	1
897	2	baseline	1
908	2	baseline	1
884	2	baseline	1
897	2	baseline	1
913	2	baseline	1
884	2	baseline	1
878	2	baseline	1
897	2	baseline	1
873	2	baseline	1
878	2	baseline	1
913	2	baseline	1
870	2	baseline	1
876	2	baseline	1
900	2	baseline	1
886	2	baseline	1
862	2	baseline	1
916	2	baseline	1
892	2	baseline	1
884	2	baseline	1
900	2	baseline	1
908	2	baseline	1
889	2	baseline	1
900	2	baseline	1
911	2	baseline	1
