trial	trial_type	stimulus	fontsize	response	accuracy	reactiontime
1	go	1	4	1	1	875
2	go	4	16	0	0	n/a
3	go	1	4	1	1	385
4	go	1	13	1	1	348
5	go	5	4	1	1	306
6	go	1	16	1	1	300
7	go	8	4	1	1	263
8	go	6	10	1	1	212
9	go	5	16	1	1	261
10	go	7	10	1	1	344
11	go	7	4	1	1	218
12	go	9	7	1	1	1144
13	go	2	4	1	1	1123
14	nogo	3	13	0	1	n/a
15	go	8	4	0	0	n/a
16	go	5	16	1	1	83
17	go	5	4	1	1	81
18	go	6	16	1	1	96
19	go	1	7	1	1	332
20	go	8	10	1	1	268
21	go	9	7	1	1	6
22	go	8	4	0	0	n/a
23	go	2	7	1	1	26
24	go	7	10	1	1	313
25	go	6	4	1	1	271
26	go	4	13	1	1	122
27	go	8	10	1	1	500
28	go	6	10	1	1	309
29	go	8	4	1	1	122
30	go	2	4	1	1	1057
31	go	9	16	1	1	1099
32	go	8	10	1	1	794
33	go	9	16	1	1	640
34	go	5	16	1	1	346
35	go	2	4	1	1	316
36	go	4	4	1	1	248
37	nogo	3	10	1	0	302
38	go	5	13	1	1	1001
39	go	5	13	1	1	859
40	go	6	4	1	1	671
41	nogo	3	4	1	0	821
42	go	2	4	1	1	566
43	go	7	13	1	1	312
44	go	5	16	1	1	336
45	go	7	10	1	1	566
46	go	8	16	1	1	609
47	go	2	10	1	1	602
48	go	7	16	1	1	638
49	go	4	4	1	1	609
50	go	1	10	1	1	623
51	nogo	3	10	1	0	612
52	go	7	10	1	1	722
53	go	4	13	1	1	669
54	go	6	4	1	1	684
55	go	4	7	1	1	632
56	go	8	13	1	1	669
57	go	8	16	1	1	593
58	go	4	7	1	1	797
59	go	1	13	1	1	793
60	go	9	7	1	1	808
61	go	9	16	1	1	734
62	go	4	16	1	1	687
63	go	8	4	1	1	677
64	go	2	4	1	1	716
65	go	2	16	1	1	709
66	go	8	4	1	1	768
67	go	7	4	1	1	784
68	nogo	3	16	1	0	936
69	go	4	16	1	1	1019
70	go	7	7	1	1	965
71	go	1	7	1	1	913
72	go	4	4	1	1	1039
73	nogo	3	13	1	0	987
74	go	5	13	1	1	753
75	go	9	13	1	1	813
76	go	8	7	1	1	671
77	go	4	4	1	1	545
78	go	7	10	1	1	266
79	go	4	16	1	1	141
80	go	1	7	1	1	111
81	go	2	16	1	1	905
82	go	6	4	1	1	773
83	go	6	13	1	1	787
84	go	4	7	1	1	787
85	go	6	13	1	1	717
86	go	6	16	1	1	364
87	go	9	10	1	1	227
88	go	9	10	1	1	320
89	go	7	10	1	1	534
90	go	6	13	1	1	400
91	go	4	13	1	1	447
92	go	1	16	1	1	326
93	go	7	7	1	1	479
94	nogo	3	10	1	0	318
95	nogo	3	13	1	0	365
96	go	9	7	1	1	168
97	go	8	7	1	1	785
98	go	2	4	1	1	671
99	go	7	10	1	1	646
100	go	6	10	1	1	593
101	go	6	7	1	1	405
102	go	1	16	1	1	280
103	go	9	10	1	1	131
104	go	9	7	1	1	293
105	nogo	3	16	1	0	313
106	go	1	13	1	1	357
107	go	4	10	1	1	339
108	go	1	7	1	1	365
109	go	1	10	1	1	368
110	go	2	10	1	1	378
111	nogo	3	16	1	0	366
112	go	6	13	1	1	655
113	go	8	10	1	1	1008
114	go	5	13	1	1	1137
115	go	9	4	0	0	n/a
116	nogo	3	7	0	1	n/a
117	go	9	16	1	1	131
118	go	5	7	1	1	98
119	go	5	16	1	1	1121
120	go	4	16	1	1	1052
121	go	2	10	1	1	978
122	go	6	10	1	1	928
123	go	8	7	0	0	n/a
124	nogo	3	4	1	0	2
125	go	8	7	1	1	840
126	go	4	4	1	1	557
127	go	4	16	1	1	300
128	go	2	16	1	1	226
129	go	5	16	1	1	145
130	go	2	13	1	1	735
131	go	1	7	1	1	341
132	go	1	7	0	0	n/a
133	go	5	13	1	1	335
134	go	9	13	1	1	694
135	go	5	16	0	0	n/a
136	go	4	7	1	1	873
137	go	5	10	1	1	683
138	nogo	3	10	1	0	422
139	go	4	13	1	1	161
140	go	2	7	1	1	617
141	go	5	7	1	1	323
142	go	6	4	1	1	54
143	go	9	16	1	1	922
144	go	4	10	0	0	n/a
145	go	6	16	0	0	n/a
146	nogo	3	7	0	1	n/a
147	go	1	13	1	1	469
148	go	5	7	0	0	n/a
149	go	5	7	1	1	264
150	go	4	16	0	0	n/a
151	go	6	4	1	1	542
152	go	4	7	0	0	n/a
153	go	5	13	0	0	n/a
154	go	5	16	1	1	434
155	go	6	13	1	1	274
156	go	2	7	1	1	147
157	nogo	3	4	1	0	244
158	go	8	10	1	1	256
