trial	trial_type	stimulus	fontsize	response	accuracy	reactiontime
1	go	1	13	1	1	725
2	go	4	16	1	1	390
3	go	1	4	1	1	361
4	go	1	10	1	1	371
5	go	5	10	1	1	318
6	go	1	13	1	1	317
7	go	8	10	1	1	259
8	go	6	4	1	1	306
9	go	5	13	1	1	266
10	go	7	10	1	1	238
11	go	7	13	1	1	99
12	go	9	4	1	1	256
13	go	2	7	1	1	248
14	nogo	3	7	1	0	262
15	go	8	7	1	1	305
16	go	5	16	1	1	266
17	go	5	7	1	1	213
18	go	6	7	1	1	309
19	go	1	13	1	1	232
20	go	8	7	1	1	261
21	go	9	16	1	1	273
22	go	8	4	1	1	267
23	go	2	16	1	1	330
24	go	7	13	1	1	335
25	go	6	10	1	1	372
26	go	4	10	1	1	411
27	go	8	7	1	1	379
28	go	6	7	1	1	292
29	go	8	16	1	1	319
30	go	2	10	1	1	300
31	go	9	10	1	1	464
32	go	8	13	1	1	305
33	go	9	10	1	1	227
34	go	5	10	1	1	146
35	go	2	4	1	1	71
36	go	4	4	1	1	251
37	nogo	3	13	1	0	225
38	go	5	10	1	1	240
39	go	5	4	1	1	224
40	go	6	7	1	1	224
41	nogo	3	13	1	0	31
42	go	2	4	0	0	n/a
43	go	7	4	1	1	350
44	go	5	4	1	1	178
45	go	7	10	1	1	57
46	go	8	4	1	1	73
47	go	2	13	1	1	1118
48	go	7	4	0	0	n/a
49	go	4	16	1	1	250
50	go	1	7	1	1	151
51	nogo	3	16	1	0	306
52	go	7	10	1	1	372
53	go	4	16	1	1	358
54	go	6	4	1	1	351
55	go	4	7	1	1	491
56	go	8	4	1	1	297
57	go	8	10	1	1	149
58	go	4	13	1	1	164
59	go	1	7	1	1	21
60	go	9	13	0	0	n/a
61	go	9	16	1	1	62
62	go	4	10	1	1	225
63	go	8	13	1	1	293
64	go	2	10	1	1	335
65	go	2	4	1	1	371
66	go	8	16	1	1	388
67	go	7	10	1	1	272
68	nogo	3	4	1	0	281
69	go	4	4	1	1	238
70	go	7	13	1	1	345
71	go	1	16	1	1	394
72	go	4	7	1	1	341
73	nogo	3	7	1	0	222
74	go	5	16	1	1	33
75	go	9	4	1	1	968
76	go	8	4	1	1	961
77	go	4	13	1	1	821
78	go	7	16	1	1	868
79	go	4	4	1	1	723
80	go	1	4	1	1	694
81	go	2	4	1	1	427
82	go	6	10	1	1	655
83	go	6	7	1	1	512
84	go	4	16	1	1	545
85	go	6	16	1	1	442
86	go	6	4	1	1	519
87	go	9	10	1	1	714
88	go	9	16	1	1	660
89	go	7	16	1	1	502
90	go	6	7	1	1	568
91	go	4	4	1	1	604
92	go	1	13	1	1	715
93	go	7	7	1	1	639
94	nogo	3	13	1	0	923
95	nogo	3	10	1	0	920
96	go	9	13	1	1	979
97	go	8	10	1	1	1018
98	go	2	7	1	1	1099
99	go	7	7	1	1	1116
100	go	6	7	0	0	n/a
101	go	6	13	1	1	1083
102	go	1	10	0	0	n/a
103	go	9	7	1	1	1073
104	go	9	16	1	1	1087
105	nogo	3	10	0	1	n/a
106	go	1	13	1	1	582
107	go	4	13	1	1	710
108	go	1	16	1	1	793
109	go	1	10	1	1	876
110	go	2	13	1	1	869
111	nogo	3	4	0	1	n/a
112	go	6	7	1	1	453
113	go	8	7	1	1	51
114	go	5	4	1	1	65
115	go	9	13	1	1	971
116	nogo	3	13	0	1	n/a
117	go	9	4	1	1	213
118	go	5	16	1	1	279
119	go	5	10	1	1	333
120	go	4	16	1	1	719
121	go	2	16	1	1	848
122	go	6	13	1	1	931
123	go	8	16	1	1	923
124	nogo	3	16	0	1	n/a
125	go	8	7	1	1	575
126	go	4	16	1	1	793
127	go	4	16	1	1	877
128	go	2	7	1	1	846
129	go	5	10	1	1	815
130	go	2	16	1	1	830
131	go	1	7	1	1	935
132	go	1	7	1	1	973
133	go	5	10	1	1	966
134	go	9	10	1	1	999
135	go	5	4	1	1	1019
136	go	4	13	1	1	1034
137	go	5	13	1	1	1048
138	nogo	3	4	0	1	n/a
139	go	4	10	1	1	859
140	go	2	4	1	1	835
141	go	5	10	1	1	872
142	go	6	16	1	1	910
143	go	9	16	1	1	880
144	go	4	10	1	1	1054
145	go	6	4	1	1	910
146	nogo	3	13	0	1	n/a
147	go	1	4	1	1	1128
148	go	5	13	1	1	673
149	go	5	10	1	1	787
150	go	4	16	1	1	844
151	go	6	7	1	1	835
152	go	4	13	1	1	877
153	go	5	4	1	1	936
154	go	5	13	1	1	975
155	go	6	16	1	1	1083
156	go	2	16	1	1	1008
157	nogo	3	13	0	1	n/a
158	go	8	10	0	0	n/a
159	nogo	3	7	1	0	27
160	go	1	4	1	1	729
161	go	9	16	1	1	767
162	nogo	3	7	0	1	n/a
163	go	2	13	0	0	n/a
164	go	7	4	1	1	688
165	go	6	4	1	1	498
166	go	6	7	1	1	589
167	go	2	10	1	1	650
168	go	2	16	1	1	708
169	go	8	4	1	1	792
170	go	8	4	1	1	738
171	go	6	10	1	1	754
172	nogo	3	13	0	1	n/a
173	go	2	13	1	1	996
174	go	1	16	1	1	737
175	go	6	7	1	1	843
176	go	1	10	1	1	768
177	nogo	3	7	0	1	n/a
178	go	1	4	1	1	920
179	go	7	7	1	1	735
180	go	2	7	1	1	726
181	go	9	13	1	1	764
182	go	9	7	1	1	734
183	go	8	16	1	1	636
184	go	7	13	1	1	696
185	go	2	4	1	1	710
186	go	7	7	1	1	703
187	go	9	4	1	1	763
188	go	7	4	1	1	756
189	go	1	7	1	1	793
190	go	4	10	1	1	741
191	go	8	16	1	1	600
192	go	5	16	1	1	586
193	go	9	13	1	1	507
194	go	5	16	1	1	537
195	go	6	10	1	1	551
196	go	9	7	1	1	499
197	nogo	3	4	0	1	n/a
198	go	9	16	1	1	604
199	go	8	10	1	1	651
200	go	7	7	1	1	597
201	nogo	3	13	0	1	n/a
202	go	4	10	1	1	738
203	nogo	3	7	1	0	361
204	go	1	13	1	1	839
205	go	6	10	1	1	876
206	go	5	10	1	1	668
207	go	9	10	1	1	659
208	go	2	7	1	1	629
209	go	7	7	1	1	501
210	go	7	13	1	1	616
211	go	1	16	1	1	695
212	go	8	16	1	1	576
213	go	7	13	1	1	703
214	go	1	13	1	1	629
215	go	7	7	1	1	667
216	nogo	3	16	0	1	n/a
217	nogo	3	13	0	1	n/a
218	go	2	4	1	1	812
219	go	2	10	1	1	718
220	go	7	10	1	1	690
221	go	5	7	1	1	639
222	nogo	3	13	0	1	n/a
223	go	7	16	1	1	702
224	go	8	4	1	1	610
225	go	9	16	1	1	671
