trial	response	correct_response	accuracy	reaction_time
1	77	7	0	1786
2	10	10	1	1504
3	99	9	0	1680
4	12	7	0	2662
5	6	6	1	845
6	9	9	1	651
7	14	14	1	2279
8	15	15	1	990
9	10	10	1	879
10	8	8	1	553
11	16	16	1	881
12	n/a	13	0	n/a
13	10	10	1	1184
14	9	9	1	581
15	11	8	0	776
16	13	13	1	1114
17	9	9	1	571
18	7	7	1	1260
19	8	8	1	1062
20	9	9	1	578
21	1	12	0	2621
22	14	14	1	2133
23	8	13	0	2647
24	9	9	1	707
25	7	7	1	763
26	8	8	1	473
27	10	10	1	1118
28	12	12	1	1060
29	11	11	1	705
30	8	8	1	1355
