onset	duration	trial_type	rating	response_time	database	identifier
6.255	6.007	vp	1	2.642	iaps	5201
21.137	6.004	vp	1	1.311	iaps	4660
32.421	6.017	vp	1	1.321	iaps	8190
48.520	6.016	dn	2	2.696	iaps	2730
61.635	6.016	dn	2	1.833	iaps	8485
74.732	6.004	dn	2	2.492	iaps	2751
90.803	6.010	ip	4	1.665	iaps	8300
103.470	6.007	ip	4	2.167	iaps	2304
116.941	6.011	ip	3	2.914	iaps	7470
133.036	6.016	vn	2	2.476	iaps	2900
145.836	6.016	vn	1	1.498	iaps	9290
159.235	6.015	vn	1	2.124	iaps	2750
175.331	6.004	dp	1	2.149	iaps	5629
189.312	6.007	dp	4	1.441	iaps	8461
201.476	6.009	dp	1	1.646	iaps	7501
217.540	6.012	in	4	1.996	iaps	6571
231.034	6.017	in	4	2.207	iaps	9046
243.735	6.016	in	n/a	n/a	iaps	9006
259.833	6.016	vt	1	1.086	iaps	7041
272.931	6.003	vt	1	1.544	iaps	7010
286.012	6.006	vt	1	1.607	iaps	7034
302.083	6.008	dn	1	1.765	iaps	9417
316.650	6.005	dn	1	1.311	iaps	9409
328.220	6.014	dn	2	2.106	iaps	9630
344.317	6.016	ip	4	2.332	iaps	4651
358.199	6.015	ip	4	1.526	iaps	4599
370.497	6.015	ip	4	1.782	iaps	8497
386.582	6.010	vn	2	1.033	iaps	3550
400.349	6.008	vn	2	1.646	iaps	2691
412.774	6.008	vn	2	1.291	iaps	9102
428.866	6.016	dp	1	1.797	iaps	1731
443.765	6.016	dp	1	2.422	iaps	8200
455.065	6.015	dp	1	2.347	iaps	2216
471.162	6.015	vt	1	2.285	iaps	2850
484.048	6.011	vt	1	2.571	iaps	7000
497.323	6.008	vt	1	2.261	iaps	5534
513.398	6.004	in	3	1.842	iaps	9160
527.780	6.017	in	4	2.632	iaps	3160
539.581	6.016	in	4	3.098	iaps	6838
555.679	6.016	vp	4	3.597	iaps	8502
570.078	6.015	vp	1	1.946	iaps	8540
581.858	6.006	vp	1	1.999	iaps	7220
