trial	trial_type	stimulus	fontsize	response	accuracy	reactiontime
1	go	1	13	1	1	733
2	go	4	7	1	1	465
3	go	1	4	1	1	713
4	go	1	7	1	1	610
5	go	5	13	1	1	478
6	go	1	7	1	1	418
7	go	8	13	1	1	464
8	go	6	4	1	1	435
9	go	5	16	1	1	478
10	go	7	10	1	1	610
11	go	7	4	1	1	527
12	go	9	4	1	1	618
13	go	2	4	1	1	489
14	nogo	3	13	0	1	n/a
15	go	8	7	1	1	342
16	go	5	10	1	1	617
17	go	5	7	1	1	496
18	go	6	10	1	1	579
19	go	1	7	1	1	572
20	go	8	4	1	1	540
21	go	9	10	1	1	556
22	go	8	16	1	1	547
23	go	2	16	1	1	546
24	go	7	10	1	1	562
25	go	6	16	1	1	578
26	go	4	16	1	1	620
27	go	8	16	1	1	586
28	go	6	16	1	1	532
29	go	8	4	1	1	614
30	go	2	16	1	1	473
31	go	9	13	1	1	537
32	go	8	4	1	1	603
33	go	9	7	1	1	574
34	go	5	7	1	1	560
35	go	2	10	1	1	577
36	go	4	16	1	1	552
37	nogo	3	16	0	1	n/a
38	go	5	7	1	1	400
39	go	5	7	1	1	565
40	go	6	16	1	1	503
41	nogo	3	4	0	1	n/a
42	go	2	10	1	1	341
43	go	7	13	1	1	560
44	go	5	16	1	1	549
45	go	7	4	1	1	591
46	go	8	16	1	1	563
47	go	2	10	1	1	575
48	go	7	4	1	1	545
49	go	4	7	1	1	561
50	go	1	7	1	1	572
51	nogo	3	4	0	1	n/a
52	go	7	10	1	1	358
53	go	4	16	1	1	524
54	go	6	7	1	1	568
55	go	4	10	1	1	516
56	go	8	7	1	1	455
57	go	8	16	1	1	491
58	go	4	7	1	1	584
59	go	1	10	1	1	546
60	go	9	4	1	1	611
61	go	9	4	1	1	577
62	go	4	16	1	1	544
63	go	8	16	1	1	588
64	go	2	13	1	1	577
65	go	2	4	1	1	592
66	go	8	4	1	1	561
67	go	7	13	1	1	515
68	nogo	3	10	0	1	n/a
69	go	4	10	1	1	348
70	go	7	16	1	1	476
71	go	1	16	1	1	536
72	go	4	13	1	1	552
73	nogo	3	4	0	1	n/a
74	go	5	13	1	1	317
75	go	9	10	1	1	486
76	go	8	10	1	1	509
77	go	4	10	1	1	516
78	go	7	7	1	1	608
79	go	4	10	1	1	622
80	go	1	10	1	1	597
81	go	2	4	1	1	590
82	go	6	10	1	1	492
83	go	6	4	1	1	476
84	go	4	10	1	1	522
85	go	6	13	1	1	492
86	go	6	13	1	1	530
87	go	9	10	1	1	522
88	go	9	13	1	1	515
89	go	7	4	1	1	549
90	go	6	10	1	1	544
91	go	4	16	1	1	447
92	go	1	10	1	1	441
93	go	7	7	1	1	567
94	nogo	3	7	0	1	n/a
95	nogo	3	13	1	0	356
96	go	9	13	1	1	596
97	go	8	13	1	1	380
98	go	2	10	1	1	337
99	go	7	16	1	1	348
100	go	6	16	1	1	329
101	go	6	4	1	1	224
102	go	1	4	1	1	192
103	go	9	13	1	1	257
104	go	9	13	1	1	401
105	nogo	3	4	0	1	n/a
106	go	1	4	1	1	545
107	go	4	4	1	1	566
108	go	1	7	1	1	573
109	go	1	10	1	1	439
110	go	2	10	1	1	503
111	nogo	3	13	0	1	n/a
112	go	6	4	1	1	422
