trial	response	correct_response	accuracy	reaction_time
1	7	7	1	1062
2	1	10	0	2835
3	9	9	1	2325
4	7	7	1	2662
5	6	6	1	258
6	n/a	9	0	n/a
7	11	14	0	2373
8	13	15	0	1522
9	10	10	1	1762
10	17	8	0	2030
11	17	16	0	2706
12	5	13	0	1790
13	16	10	0	2072
14	12	9	0	918
15	14	8	0	2008
16	n/a	13	0	n/a
17	10	9	0	1397
18	15	7	0	2170
19	9	8	0	1288
20	14	9	0	1985
21	14	12	0	2651
22	9	14	0	2024
23	12	13	0	1732
24	n/a	9	0	n/a
25	7	7	1	713
26	8	8	1	1112
27	12	10	0	858
28	12	12	1	539
29	11	11	1	2912
30	12	8	0	2502
