participant_id	task	session	echo	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	provenance.md5sum	provenance.settings.fd_thres	provenance.settings.hmc_fsl	provenance.software	provenance.version	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-5001	task-emotionRegulation	pre	e1	0.0015	0.0016	0	22.5791	1.2135	1.0081	0.5715	1049.4825	0.0703	6	2.400	2.7206	2.8644	3.0438	2.2536	0.0057	0.1446	-0.0655	28fd4f85b8a8c33662052f26337187e5	0.2	FALSE	mriqc	0.15.1	250	52	80	30	2.2285	2.4	3	3	4	14.6077	138.5581	900.3813	247.2640	60602	140.8642	5060.4577	1808.6456	0.1377	4093.5315	9865.8594	9139.4961	34021	4573.8164	17485.1523	4101.1440	86.7855
sub-5001	task-emotionRegulation	pre	e2	0.0014	0.0021	0	27.5106	1.1501	1.0130	0.5251	907.7837	0.0747	6	2.400	2.6618	2.8487	2.9681	2.1686	0.0083	0.0608	-0.0254	6acdd60318d69da4a7444a3503d4270d	0.2	FALSE	mriqc	0.15.1	250	52	80	30	2.1508	2.4	3	3	4	83.4944	66.7290	373.8340	193.7200	62815	136.2668	1306.4077	599.5676	0.4429	2975.1021	7135.6763	6635.3862	31828	3045.5732	12908.3855	3085.0630	62.4924
sub-5001	task-emotionRegulation	pre	e3	0.0013	0.0029	0	34.3803	1.1163	1.0125	0.5074	547.6088	0.0739	6	2.400	2.5112	2.7297	2.7637	2.0402	0.0076	0.0337	-0.0118	ee4d8332bd0a7cb0817b888d6b5fda72	0.2	FALSE	mriqc	0.15.1	250	52	80	30	2.0583	2.4	3	3	4	381.4968	46.6219	254.9269	180.3780	65460	134.9118	576.6162	316.8853	1.0314	2190.5422	5165.2666	4817.8184	29634	1980.7115	9492.9062	2340.6030	46.7701
sub-5001	task-emotionRegulation	post	e1	0.0027	0.0037	0	23.9090	1.1067	1.1112	0.5808	881.9471	0.1145	29	11.600	2.6870	2.7738	2.9336	2.3537	0.0126	0.1498	-0.0630	b5a8d2e97327d34038406072651e6053	0.2	FALSE	mriqc	0.15.1	250	52	80	30	2.2690	2.4	3	3	4	15.0662	152.1595	908.9472	243.6480	60884	126.2058	4973.9510	1856.3226	0.7710	3188.5793	8857.0947	8111.5083	33901	4472.8042	15964.3525	3574.8169	62.1425
sub-5001	task-emotionRegulation	post	e2	0.0028	0.0051	0	29.9218	1.0723	1.0152	0.5349	767.5294	0.1234	34	13.600	2.6442	2.7904	2.9004	2.2418	0.0127	0.0612	-0.0231	672d7b46a3d7adef07ad30e4fdf7296d	0.2	FALSE	mriqc	0.15.1	250	52	80	30	2.2010	2.4	3	3	4	101.8170	77.6113	385.6292	190.2180	63298	123.9274	1425.4125	669.3976	0.9678	2345.0381	6411.9863	5905.5005	31687	2973.6874	11673.3373	2683.0034	45.0702
sub-5001	task-emotionRegulation	post	e3	0.0026	0.0071	0	37.6461	1.0516	0.9957	0.5161	476.6081	0.1235	35	14.000	2.4961	2.6813	2.7089	2.0983	0.0110	0.0339	-0.0116	df341be4d66c3da261a353cfb7f9168d	0.2	FALSE	mriqc	0.15.1	250	52	80	30	2.1240	2.4	3	3	4	470.6919	54.4441	254.6448	175.4000	65954	123.3840	613.1402	358.3745	1.4532	1746.2086	4652.0073	4292.1323	29399	1990.9017	8531.8322	2020.7137	33.7993
sub-5002	task-emotionRegulation	pre	e1	0.0149	0.0043	0	25.3063	1.2429	1.3430	0.6131	556.8665	0.1307	34	13.600	2.7101	2.7569	2.9730	2.4005	0.0233	0.2778	-0.1208	0762a06df371a943e0f397e65603a552	0.2	FALSE	mriqc	0.15.1	250	52	80	30	2.0549	2.4	3	3	4	8.9875	226.8233	1394.5205	318.5260	57268	148.3854	7372.3346	2514.7566	0.8341	3817.4995	9166.9023	8381.7666	37192	4034.5094	16919.0057	4078.8752	51.9291
sub-5002	task-emotionRegulation	pre	e2	0.0129	0.0053	0	32.7242	1.2089	1.4997	0.5605	606.3616	0.1421	41	16.400	2.6210	2.7371	2.8858	2.2400	0.0219	0.1386	-0.0631	5e2f15498b0e8181315e303b5a1ae225	0.2	FALSE	mriqc	0.15.1	250	52	80	30	1.9297	2.4	3	3	4	33.4618	90.0473	522.9601	220.6600	59105	143.5160	2125.7073	881.8932	1.3320	2846.8337	6692.7017	6083.1885	35145	2679.8458	12688.2596	3152.2927	37.5126
sub-5002	task-emotionRegulation	pre	e3	0.0122	0.0073	0	41.4362	1.1816	1.2348	0.5352	393.6378	0.1436	41	16.400	2.4580	2.6096	2.6917	2.0726	0.0168	0.0773	-0.0341	88bd42dd2586c884bc982e4e56ff5550	0.2	FALSE	mriqc	0.15.1	250	52	80	30	1.8216	2.4	3	3	4	158.8378	57.3648	311.9116	199.0680	61323	142.1320	832.3476	431.2706	2.2083	2120.3525	4909.3159	4458.2705	33176	1795.4501	9556.6099	2447.3494	28.2180
sub-5002	task-emotionRegulation	post	e1	0.0056	0.0050	0	27.2260	1.1527	1.0383	0.6022	553.1330	0.1189	26	10.400	2.7277	2.6206	2.9663	2.5962	0.0159	0.2253	-0.0971	908ba6b5362de304ec7481e144ca1729	0.2	FALSE	mriqc	0.15.1	250	52	80	30	2.0590	2.4	3	3	4	14.0124	195.3269	1036.5380	272.9820	57574	121.7866	5297.3148	1968.3459	1.6423	2823.1743	7684.9346	6991.3203	36920	3550.0777	14350.9841	3395.4231	48.3733
