participant_id	task	session	name	echo	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	provenance.md5sum	provenance.settings.fd_thres	provenance.settings.hmc_fsl	provenance.software	provenance.version	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-5001	task-ultimatumGame	post	tmp_e1_mriqc.json	e1	0.0052	0.0112	0	32.8686	0.9420	0.9273	0.5865	752.8114	0.2034	43	17.6230	2.7834	2.8209	2.9880	2.5412	0.0138	0.1602	-0.0696	18deace4d889479428c24a153c98a397	0.2	FALSE	mriqc	0.15.1	244	52	80	30	2.2409	2.4	3	3	3.99	14.1141	164.5172	937.3873	264.3217	60972	137.6639	4961.7225	1839.1278	0.7521	3207.5854	8797.0176	8065.6797	34167	4339.2182	15968.8797	3599.2810	33.1949
sub-5001	task-ultimatumGame	post	tmp_e2_mriqc.json	e2	0.0041	0.0134	0	39.1095	0.9104	0.9663	0.5403	707.2648	0.2158	49	20.0820	2.7408	2.8490	2.9695	2.4040	0.0097	0.0661	-0.0271	b9bad938c2041297c79067b3f0e1425c	0.2	FALSE	mriqc	0.15.1	244	52	80	30	2.1969	2.4	3	3	3.99	72.7343	76.3479	401.3356	199.9549	63493	133.7254	1453.9786	643.9298	0.9254	2362.8916	6400.9497	5894.5161	31811	2953.4424	11675.7617	2683.0891	25.3026
sub-5001	task-ultimatumGame	post	tmp_e3_mriqc.json	e3	0.0035	0.0192	0	48.4331	0.9051	0.8888	0.5222	445.1996	0.2217	53	21.7213	2.5956	2.7493	2.7920	2.2455	0.0070	0.0365	-0.0137	68b85825da57e2e0a8283dafd6e1bd7c	0.2	FALSE	mriqc	0.15.1	244	52	80	30	2.1421	2.4	3	3	3.99	349.5086	54.0056	269.3262	184.7787	66451	132.8484	658.1844	339.1299	1.2563	1752.6606	4661.0400	4310.6636	29332	1982.8804	8523.1859	2012.3492	19.8190
sub-5002	task-ultimatumGame	post	tmp_e1_mriqc.json	e1	0.0082	0.0170	0	62.3295	1.1051	1.5471	0.6145	291.9650	0.7652	170	69.6721	2.8054	2.7108	3.0492	2.6564	0.0217	0.2259	-0.0985	277807dfd6f23deed927f2f46ddce30c	0.2	FALSE	mriqc	0.15.1	244	52	80	30	2.0617	2.4	3	3	3.99	14.4879	252.4799	1111.4907	369.8238	57489	161.5016	5346.5244	1950.3894	1.9260	2822.8745	7556.3545	6914.3418	36950	3322.3275	14055.5670	3353.5896	22.8929
sub-5002	task-ultimatumGame	post	tmp_e2_mriqc.json	e2	0.0062	0.0199	0	78.5596	1.0764	1.0630	0.5732	266.2841	0.8211	183	75.0000	2.7107	2.7672	2.9347	2.4303	0.0207	0.1252	-0.0459	06387804d57782a487b2f68257bde02a	0.2	FALSE	mriqc	0.15.1	244	52	80	30	1.9630	2.4	3	3	3.99	37.1832	136.0075	491.4679	281.9365	59854	158.1338	1634.9737	652.1373	2.2875	2117.9185	5479.7666	5020.7109	34554	2171.5779	10441.1838	2557.6799	17.5973
sub-5002	task-ultimatumGame	post	tmp_e3_mriqc.json	e3	0.0052	0.0272	0	100.4107	1.0670	1.0102	0.5605	161.9502	0.8319	181	74.1803	2.5918	2.7017	2.8040	2.2698	0.0196	0.0821	-0.0195	2ead994427210bc3b48367aece9e2072	0.2	FALSE	mriqc	0.15.1	244	52	80	30	1.8160	2.4	3	3	3.99	172.9160	96.1899	336.4485	257.2315	61356	157.2982	724.8237	328.6566	2.7361	1628.2921	3933.5632	3604.6677	33287	1216.8651	7750.1546	1984.8868	13.3266
sub-5003	task-ultimatumGame	post	tmp_mriqc.json	e1	0.0056	0.0113	0	26.0680	0.8665	0.8392	0.6421	476.9625	0.1330	38	15.5738	2.7433	2.7684	2.9520	2.5094	0.0449	0.1943	-0.0615	3224aab35fb9a8543ca1714774edc877	0.2	FALSE	mriqc	0.15.1	244	52	80	30	2.1554	2.4	3	3	3.99	7.8857	244.8876	1293.8754	324.2561	50986	140.9016	6360.8153	2189.7134	0.4188	3570.1541	8698.9443	7996.3887	42289	3975.0154	15793.6078	3709.9722	32.9319
sub-5003	task-ultimatumGame	post	tmp_e2_mriqc.json	e2	0.0041	0.0139	0	33.6788	0.8564	0.8416	0.5911	513.0659	0.1404	39	15.9836	2.6576	2.8012	2.8415	2.3302	0.0292	0.0833	-0.0267	eecfc753f73a353713bfffc0f0d2cc51	0.2	FALSE	mriqc	0.15.1	244	52	80	30	2.0858	2.4	3	3	3.99	63.7143	107.6770	486.9771	225.6066	53095	135.5656	1790.8733	809.6982	0.5077	2584.9741	6278.4707	5769.4932	39820	2677.2053	11620.8589	2765.9949	24.3301
sub-5003	task-ultimatumGame	post	tmp_e3_mriqc.json	e3	0.0033	0.0207	0	42.9079	0.8515	0.8490	0.5685	342.1141	0.1415	39	15.9836	2.4819	2.6590	2.6299	2.1568	0.0204	0.0483	-0.0123	f6b1b261504e89205e30a32e92095d5f	0.2	FALSE	mriqc	0.15.1	244	52	80	30	1.9831	2.4	3	3	3.99	198.7611	69.0504	313.8904	201.2131	55821	134.9385	812.4958	477.4801	1.1578	1879.8846	4560.9336	4166.7988	37113	1844.9155	8624.5924	2101.1758	18.7467
sub-5004	task-ultimatumGame	post	tmp_mriqc.json	e1	0.0024	0.0094	0	30.6102	0.9585	0.9240	0.6188	463.6490	0.1595	66	27.0492	2.7084	2.6210	2.9917	2.5125	0.0167	0.1926	-0.0765	3b353e8444ea35b24839728b15d226d7	0.2	FALSE	mriqc	0.15.1	244	52	80	30	2.0619	2.4	3	3	3.99	14.7011	218.7871	960.7089	314.5696	53917	140.9131	4558.2048	1673.0750	0.5724	3507.2224	8460.2158	7747.6636	40103	3621.1629	15620.3838	3757.4053	29.5090
