participant_id	task	session	echo	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	provenance.md5sum	provenance.settings.fd_thres	provenance.settings.hmc_fsl	provenance.software	provenance.version	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-5001	task-trainingMimicking	post	e1	0.0072	0.0510	0	175.3858	1.2931	1.0444	0.5750	994.6740	4.0946	170	99.4152	2.8797	2.8954	3.1071	2.6367	0.0849	0.1839	-0.0499	192ef7af52a5074e145da1a46332a77b	0.2	FALSE	mriqc	0.15.1	171	52	80	30	2.2681	2.4	3	3	3.99	14.4434	139.9715	864.9238	211.8187	62119	101.2690	4825.9470	1803.1050	0.8903	2774.5164	8209.9482	7456.3066	32790	4288.4607	14871.9045	3287.4575	13.6919
sub-5001	task-trainingMimicking	post	e2	0.0053	0.0498	0	200.0680	1.2685	1.0310	0.5311	812.0955	4.1842	170	99.4152	2.8422	2.9272	3.1081	2.4914	0.0704	0.0822	-0.0135	246de7b22ff90faaa584ec3afed16685	0.2	FALSE	mriqc	0.15.1	171	52	80	30	2.2392	2.4	3	3	3.99	91.5803	81.7946	359.4043	172.1754	64154	97.6082	1358.6930	630.5884	0.9607	2042.3107	5899.9043	5403.0146	30706	2853.0717	10777.1140	2412.8755	11.6583
sub-5001	task-trainingMimicking	post	e3	0.0043	0.0610	0	226.5395	1.2366	1.0215	0.5137	503.0138	4.2157	170	99.4152	2.7197	2.8420	2.9702	2.3467	0.0566	0.0467	-0.0015	1b680f16af66a842e1c64479d57b1347	0.2	FALSE	mriqc	0.15.1	171	52	80	30	2.2087	2.4	3	3	3.99	444.0702	61.3329	227.0215	159.2456	66337	96.2281	552.8468	318.4555	1.2221	1494.6104	4253.5923	3910.4094	28637	1951.9087	7750.1733	1770.4341	9.6807
sub-5002	task-trainingMimicking	post	e1	0.0102	0.0166	0	67.2663	1.1570	1.0443	0.6171	300.3925	0.8520	171	97.7143	2.7528	2.6717	3.0015	2.5853	0.0198	0.2451	-0.1067	7661ee937e8f6d7122318e06bed5c3af	0.2	FALSE	mriqc	0.15.1	175	52	80	30	2.1496	2.4	3	3	3.99	13.9166	214.5241	1113.7747	355.5314	57704	179.7323	5467.2347	1970.2574	1.9958	2659.0593	7507.4321	6914.0684	36591	3426.8943	13771.5537	3216.3721	23.1865
sub-5002	task-trainingMimicking	post	e2	0.0078	0.0214	0	86.9292	1.1250	1.0239	0.5772	249.7853	0.9220	171	97.7143	2.6456	2.7061	2.8773	2.3535	0.0139	0.1336	-0.0550	df71e7979d1bfdabd306b829b2c7d5a6	0.2	FALSE	mriqc	0.15.1	175	52	80	30	2.0446	2.4	3	3	3.99	48.2245	111.6865	497.2084	283.5543	60261	176.4914	1675.9600	705.3652	2.3163	2005.3513	5411.7690	4993.8916	34115	2238.7468	10172.4110	2442.3987	17.1789
sub-5002	task-trainingMimicking	post	e3	0.0064	0.0308	0	111.7170	1.1154	1.0176	0.5668	144.5613	0.9385	171	97.7143	2.5146	2.6160	2.7375	2.1904	0.0109	0.0823	-0.0310	5270dc08efd4b24acbd4e9ae89b3ec7d	0.2	FALSE	mriqc	0.15.1	175	52	80	30	1.9188	2.4	3	3	3.99	230.8471	80.3401	338.3599	265.2200	61876	175.6571	679.4943	351.7455	2.8982	1522.7639	3879.4272	3578.8687	32642	1396.2626	7464.3074	1865.1758	12.9390
sub-5003	task-trainingMimicking	post	e1	0.0080	0.0057	0	37.9463	1.2064	1.0957	0.6253	590.6010	0.3275	116	66.2857	2.7279	2.7068	2.9557	2.5211	0.0275	0.2092	-0.0381	bcd0af1931c7d9ca6a1f4a7133d4b73e	0.2	FALSE	mriqc	0.15.1	175	52	80	30	2.1138	2.4	3	3	3.99	9.6469	182.1483	1083.2244	257.7086	52724	119.6637	5498.4249	1945.1959	1.0050	3195.6558	8088.3379	7399.7686	40424	3792.6521	14863.1776	3500.6047	46.5187
sub-5003	task-trainingMimicking	post	e2	0.0080	0.0073	0	47.5687	1.1788	1.1691	0.5768	542.8022	0.3413	120	68.5714	2.6027	2.7307	2.7984	2.2789	0.0262	0.1024	-0.0181	f7b08f29ff66a69d6f1e1fec41ecc4b6	0.2	FALSE	mriqc	0.15.1	175	52	80	30	2.0870	2.4	3	3	3.99	65.3054	94.5180	405.2386	198.9743	55032	117.6031	1487.4648	659.9659	0.8088	2311.4956	5826.9507	5340.2285	37641	2547.3999	10817.6680	2558.7222	34.4965
sub-5003	task-trainingMimicking	post	e3	0.0076	0.0102	0	60.3936	1.1612	1.1064	0.5594	330.1665	0.3360	117	66.8571	2.4142	2.5822	2.5863	2.0741	0.0239	0.0628	-0.0039	76d32c0df648a643d50fbd9cb9f05472	0.2	FALSE	mriqc	0.15.1	175	52	80	30	2.0117	2.4	3	3	3.99	216.7163	68.0811	268.6071	184.2057	57301	117.9943	646.6514	375.6857	0.9054	1698.3761	4198.1128	3837.9712	35358	1687.9351	7907.6625	1907.8240	25.8256
sub-5004	task-trainingMimicking	post	e1	0.0021	0.0153	0	35.0725	0.9870	0.9566	0.6211	457.1564	0.2914	122	69.7143	2.7013	2.6110	2.9760	2.5171	0.0063	0.1892	-0.0747	a96130fc1ac99307e5b29f6e0a1044b7	0.2	FALSE	mriqc	0.15.1	175	52	80	30	2.1283	2.4	3	3	3.99	14.5822	201.1256	877.1899	287.5229	54348	124.1926	4089.4908	1510.6208	0.8849	2986.4692	7587.7988	6993.0000	39726	3320.1143	13887.1470	3285.6382	28.7340
