trial	trial_type	stimulus	fontsize	response	accuracy	reactiontime
1	go	1	7	1	1	815
2	go	4	16	1	1	601
3	go	1	4	1	1	461
4	go	1	13	1	1	426
5	go	5	10	1	1	378
6	go	1	10	1	1	404
7	go	8	10	1	1	418
8	go	6	13	1	1	366
9	go	5	7	1	1	472
10	go	7	7	1	1	442
11	go	7	10	1	1	343
12	go	9	16	1	1	426
13	go	2	10	1	1	462
14	nogo	3	7	0	1	n/a
15	go	8	7	1	1	844
16	go	5	4	1	1	559
17	go	5	10	1	1	457
18	go	6	4	1	1	403
19	go	1	13	1	1	396
20	go	8	10	1	1	412
21	go	9	16	1	1	426
22	go	8	7	1	1	395
23	go	2	7	1	1	487
24	go	7	13	1	1	364
25	go	6	16	1	1	391
26	go	4	7	1	1	451
27	go	8	7	1	1	409
28	go	6	4	1	1	386
29	go	8	13	1	1	403
30	go	2	16	1	1	442
31	go	9	13	1	1	391
32	go	8	7	1	1	307
33	go	9	16	1	1	324
34	go	5	16	1	1	381
35	go	2	16	1	1	427
36	go	4	16	1	1	377
37	nogo	3	7	0	1	n/a
38	go	5	10	1	1	423
39	go	5	4	1	1	403
40	go	6	13	1	1	553
41	nogo	3	4	0	1	n/a
42	go	2	4	1	1	562
43	go	7	10	1	1	430
44	go	5	10	1	1	505
45	go	7	7	1	1	404
46	go	8	10	1	1	387
47	go	2	16	1	1	305
48	go	7	10	1	1	313
49	go	4	4	1	1	396
50	go	1	10	1	1	467
51	nogo	3	7	0	1	n/a
52	go	7	13	1	1	912
53	go	4	4	1	1	563
54	go	6	13	1	1	534
55	go	4	13	1	1	424
56	go	8	13	1	1	385
57	go	8	4	1	1	400
58	go	4	4	1	1	526
59	go	1	10	1	1	613
60	go	9	4	1	1	589
61	go	9	10	1	1	578
62	go	4	10	1	1	569
63	go	8	16	1	1	469
64	go	2	4	1	1	391
65	go	2	7	1	1	479
66	go	8	7	1	1	585
67	go	7	13	1	1	559
68	nogo	3	4	0	1	n/a
69	go	4	4	1	1	755
70	go	7	16	1	1	391
71	go	1	10	1	1	369
72	go	4	13	1	1	348
73	nogo	3	16	1	0	340
74	go	5	7	1	1	412
75	go	9	16	1	1	332
76	go	8	7	1	1	382
77	go	4	13	1	1	374
78	go	7	10	1	1	377
79	go	4	4	1	1	450
80	go	1	7	1	1	463
81	go	2	13	1	1	568
82	go	6	13	1	1	583
83	go	6	10	1	1	575
84	go	4	10	1	1	479
85	go	6	10	1	1	383
86	go	6	16	1	1	350
87	go	9	16	1	1	354
88	go	9	16	1	1	376
89	go	7	7	1	1	417
90	go	6	7	1	1	523
91	go	4	13	1	1	560
92	go	1	13	1	1	621
93	go	7	13	1	1	590
94	nogo	3	4	0	1	n/a
95	nogo	3	10	0	1	n/a
96	go	9	16	1	1	942
97	go	8	16	1	1	387
98	go	2	10	1	1	480
99	go	7	4	1	1	417
100	go	6	10	1	1	432
101	go	6	7	1	1	401
102	go	1	4	1	1	326
103	go	9	13	1	1	478
104	go	9	7	1	1	540
105	nogo	3	7	0	1	n/a
106	go	1	7	1	1	788
107	go	4	10	1	1	598
108	go	1	13	1	1	570
109	go	1	16	1	1	605
110	go	2	16	1	1	576
111	nogo	3	10	0	1	n/a
112	go	6	13	1	1	998
113	go	8	7	1	1	556
114	go	5	13	1	1	458
115	go	9	10	1	1	528
116	nogo	3	7	0	1	n/a
117	go	9	16	1	1	887
118	go	5	13	1	1	354
119	go	5	7	1	1	437
120	go	4	4	1	1	596
121	go	2	13	1	1	614
122	go	6	4	1	1	650
123	go	8	13	1	1	643
124	nogo	3	10	0	1	n/a
125	go	8	16	1	1	655
126	go	4	7	1	1	513
127	go	4	16	1	1	422
128	go	2	13	1	1	573
129	go	5	16	1	1	592
130	go	2	16	1	1	371
131	go	1	10	1	1	577
132	go	1	13	1	1	594
133	go	5	7	1	1	585
134	go	9	7	1	1	571
135	go	5	4	1	1	592
136	go	4	4	1	1	602
137	go	5	10	1	1	583
138	nogo	3	4	0	1	n/a
139	go	4	4	1	1	618
140	go	2	10	1	1	550
141	go	5	7	1	1	572
142	go	6	4	1	1	579
143	go	9	4	1	1	623
144	go	4	16	1	1	616
145	go	6	13	1	1	580
146	nogo	3	4	0	1	n/a
147	go	1	16	1	1	874
148	go	5	7	1	1	503
149	go	5	13	1	1	448
150	go	4	13	1	1	576
151	go	6	7	1	1	569
152	go	4	4	1	1	587
153	go	5	4	1	1	576
154	go	5	4	1	1	619
155	go	6	13	1	1	591
156	go	2	4	1	1	634
157	nogo	3	10	0	1	n/a
158	go	8	13	1	1	990
159	nogo	3	16	0	1	n/a
160	go	1	4	1	1	1046
161	go	9	16	1	1	578
162	nogo	3	13	0	1	n/a
163	go	2	4	1	1	877
164	go	7	16	1	1	590
165	go	6	4	1	1	634
166	go	6	16	1	1	604
167	go	2	4	1	1	573
168	go	2	7	1	1	610
169	go	8	13	1	1	649
170	go	8	7	1	1	597
171	go	6	16	1	1	459
172	nogo	3	10	0	1	n/a
173	go	2	13	1	1	703
174	go	1	16	1	1	602
175	go	6	16	1	1	568
176	go	1	16	1	1	478
177	nogo	3	7	0	1	n/a
178	go	1	7	1	1	629
179	go	7	4	1	1	512
180	go	2	7	1	1	589
181	go	9	13	1	1	561
182	go	9	4	1	1	542
183	go	8	7	1	1	579
184	go	7	10	1	1	432
185	go	2	4	1	1	563
186	go	7	16	1	1	417
187	go	9	4	1	1	431
188	go	7	4	1	1	540
189	go	1	10	1	1	528
190	go	4	4	1	1	470
191	go	8	16	1	1	569
192	go	5	10	1	1	606
193	go	9	10	1	1	622
194	go	5	7	1	1	570
195	go	6	10	1	1	410
196	go	9	10	1	1	352
197	nogo	3	4	1	0	320
198	go	9	13	1	1	438
199	go	8	10	1	1	395
200	go	7	16	1	1	575
201	nogo	3	10	0	1	n/a
202	go	4	10	1	1	438
203	nogo	3	10	0	1	n/a
204	go	1	16	1	1	993
205	go	6	10	1	1	576
206	go	5	16	1	1	569
207	go	9	16	1	1	580
208	go	2	7	1	1	573
209	go	7	16	1	1	565
210	go	7	13	1	1	429
211	go	1	10	1	1	359
212	go	8	16	1	1	440
213	go	7	7	1	1	588
214	go	1	13	1	1	577
215	go	7	4	1	1	537
216	nogo	3	7	0	1	n/a
217	nogo	3	7	0	1	n/a
218	go	2	13	1	1	972
219	go	2	4	1	1	653
220	go	7	16	1	1	623
221	go	5	7	1	1	616
222	nogo	3	13	0	1	n/a
223	go	7	13	1	1	880
224	go	8	13	1	1	598
225	go	9	13	1	1	523
