onset	duration	trial_type	rating	response_time	database	identifier
6.263	6.012	vp	3	1.809	iaps	5201
21.156	6.007	vp	4	0.924	iaps	4660
32.421	6.009	vp	4	0.673	iaps	8190
48.495	6.004	dn	2	2.159	iaps	2730
61.595	6.017	dn	2	2.012	iaps	8485
74.695	6.016	dn	1	0.663	iaps	2751
90.794	6.016	ip	3	0.770	iaps	8300
103.475	6.016	ip	4	1.043	iaps	2304
116.973	6.005	ip	4	0.867	iaps	7470
133.037	6.007	vn	3	0.576	iaps	2900
145.817	6.011	vn	2	0.797	iaps	9290
159.182	6.012	vn	1	1.196	iaps	2750
175.277	6.016	dp	1	0.806	iaps	5629
189.277	6.015	dp	2	0.909	iaps	8461
201.474	6.015	dp	1	2.716	iaps	7501
217.572	6.006	in	4	0.917	iaps	6571
231.035	6.008	in	3	0.850	iaps	9046
243.700	6.009	in	4	0.954	iaps	9006
259.793	6.016	vt	1	0.798	iaps	7041
272.893	6.016	vt	1	0.676	iaps	7010
285.993	6.015	vt	1	0.960	iaps	7034
302.090	6.015	dn	1	0.736	iaps	9417
316.687	6.004	dn	3	1.355	iaps	9409
328.251	6.007	dn	2	0.803	iaps	9630
344.326	6.005	ip	4	1.275	iaps	4651
358.196	6.012	ip	4	0.925	iaps	4599
370.492	6.016	ip	4	0.806	iaps	8497
386.591	6.015	vn	3	1.998	iaps	3550
400.388	6.017	vn	3	0.631	iaps	2691
412.812	6.007	vn	4	0.904	iaps	9102
428.873	6.009	dp	2	1.441	iaps	1731
443.746	6.010	dp	1	0.694	iaps	8200
455.012	6.012	dp	1	0.798	iaps	2216
471.107	6.016	vt	1	0.861	iaps	2850
484.006	6.016	vt	1	0.726	iaps	7000
497.305	6.015	vt	1	0.884	iaps	5534
513.401	6.004	in	3	0.834	iaps	9160
527.765	6.008	in	3	2.120	iaps	3160
539.530	6.009	in	4	0.789	iaps	6838
555.622	6.017	vp	1	0.854	iaps	8502
570.022	6.017	vp	1	0.924	iaps	8540
581.838	6.016	vp	2	1.868	iaps	7220
