onset	duration	trial_type	rating	response_time	database	identifier
6.230	6.008	vp	4	2.154	iaps	1722
19.420	6.007	vp	2	2.726	iaps	2208
32.403	6.004	vp	2	2.494	iaps	7260
48.487	6.016	dn	2	1.331	iaps	6550
62.304	6.015	dn	3	1.199	iaps	6510
74.701	6.016	dn	1	1.093	iaps	9331
90.798	6.005	ip	4	1.355	iaps	4680
103.063	6.007	ip	2	1.664	iaps	7430
116.927	6.009	ip	n/a	n/a	iaps	4607
133.002	6.004	vt	1	0.802	iaps	7035
145.185	6.016	vt	2	2.665	iaps	7090
159.185	6.015	vt	1	1.044	iaps	7050
175.283	6.015	in	3	1.215	iaps	9495
188.968	6.011	in	4	1.336	iaps	4621
201.451	6.009	in	4	1.374	iaps	9042
217.518	6.007	dp	2	1.716	iaps	2310
232.001	6.004	dp	2	1.053	iaps	5820
243.684	6.017	dp	3	1.295	iaps	8210
259.784	6.016	vn	4	1.359	iaps	6821
274.682	6.015	vn	3	1.368	iaps	9530
285.980	6.015	vn	3	1.174	iaps	9320
302.066	6.010	dp	3	2.001	iaps	8180
314.524	6.009	dp	3	0.791	iaps	1463
328.200	6.004	dp	2	1.076	iaps	8496
344.283	6.016	vn	4	1.123	iaps	6250
358.083	6.016	vn	4	1.499	iaps	6243
370.481	6.015	vn	4	1.116	iaps	9620
386.578	6.015	ip	4	1.310	iaps	8370
400.066	6.009	ip	4	1.117	iaps	8090
412.741	6.007	ip	3	1.335	iaps	4640
428.815	6.005	dn	2	2.146	iaps	2053
440.898	6.017	dn	2	0.945	iaps	9432
454.998	6.016	dn	3	0.971	iaps	2490
471.096	6.015	vt	1	1.606	iaps	7950
484.194	6.016	vt	1	1.087	iaps	2214
497.264	6.010	vt	1	0.853	iaps	7020
513.331	6.006	in	3	1.756	iaps	9621
525.896	6.006	in	3	1.090	iaps	9830
539.480	6.017	in	3	1.802	iaps	9001
555.580	6.027	vp	3	1.587	iaps	8341
570.079	6.015	vp	2	2.166	iaps	2345
581.777	6.015	vp	2	0.946	iaps	5000
