onset	duration	trial_type	rating	response_time	database	identifier
6.263	6.016	dp	2	3.138	iaps	4626
18.660	6.016	dp	1	3.004	iaps	8490
32.459	6.015	dp	2	3.229	iaps	5270
48.539	6.007	vn	2	3.999	iaps	9340
62.120	6.010	vn	4	1.812	iaps	7359
74.712	6.016	vn	4	2.016	iaps	2276
90.812	6.017	ip	4	3.383	iaps	5623
105.812	6.016	ip	4	2.651	iaps	4603
117.010	6.016	ip	4	3.675	iaps	4670
133.107	6.015	dn	2	4.000	iaps	1111
146.177	6.010	dn	2	2.070	iaps	8230
159.253	6.008	dn	3	2.031	iaps	6312
175.327	6.004	vt	2	2.904	iaps	7491
189.211	6.016	vt	1	3.173	iaps	7170
201.510	6.017	vt	1	2.287	iaps	7235
217.609	6.016	in	4	4.000	iaps	1275
230.306	6.015	in	4	4.000	iaps	9280
243.777	6.009	in	4	3.158	iaps	9120
259.842	6.008	vp	4	2.568	iaps	8162
274.209	6.004	vp	2	2.297	iaps	8531
285.979	6.014	vp	4	2.061	iaps	2352
302.075	6.017	dn	3	2.547	iaps	6530
314.874	6.016	dn	2	2.947	iaps	9584
328.272	6.015	dn	2	3.877	iaps	9000
344.358	6.020	vp	2	3.009	iaps	8503
357.942	6.007	vp	3	2.599	iaps	2650
370.513	6.011	vp	4	1.801	iaps	1340
386.591	6.017	in	4	4.000	iaps	9622
400.811	6.013	in	4	3.817	iaps	6242
412.811	6.012	in	4	3.190	iaps	1525
428.890	6.012	vt	3	2.423	iaps	5510
443.674	6.009	vt	1	2.109	iaps	7006
455.057	6.008	vt	3	2.371	iaps	7185
471.124	6.004	dp	1	2.783	iaps	8030
486.107	6.016	dp	2	3.999	iaps	4608
497.306	6.017	dp	3	2.255	iaps	2311
513.406	6.015	vn	4	2.380	iaps	9250
527.089	6.013	vn	3	3.739	iaps	2141
539.572	6.011	vn	4	2.259	iaps	3061
555.647	6.008	ip	3	2.622	iaps	1999
568.122	6.005	ip	4	2.977	iaps	5779
581.806	6.016	ip	4	2.872	iaps	8380
