trial	trial_type	stimulus	fontsize	response	accuracy	reactiontime
1	go	1	16	1	1	554
2	go	4	16	1	1	377
3	go	1	4	1	1	435
4	go	1	10	1	1	360
5	go	5	13	1	1	359
6	go	1	4	1	1	464
7	go	8	4	1	1	387
8	go	6	4	1	1	399
9	go	5	4	1	1	391
10	go	7	4	1	1	384
11	go	7	13	1	1	376
12	go	9	16	1	1	369
13	go	2	13	1	1	408
14	nogo	3	13	1	0	353
15	go	8	10	1	1	369
16	go	5	4	1	1	395
17	go	5	7	1	1	331
18	go	6	10	1	1	368
19	go	1	4	1	1	446
20	go	8	4	1	1	439
21	go	9	13	1	1	432
22	go	8	7	1	1	402
23	go	2	13	1	1	360
24	go	7	16	1	1	374
25	go	6	4	1	1	399
26	go	4	4	1	1	440
27	go	8	13	1	1	386
28	go	6	16	1	1	342
29	go	8	10	1	1	371
30	go	2	7	1	1	364
31	go	9	13	1	1	403
32	go	8	10	1	1	393
33	go	9	13	1	1	408
34	go	5	10	1	1	389
35	go	2	13	1	1	393
36	go	4	4	1	1	404
37	nogo	3	4	0	1	n/a
38	go	5	16	1	1	330
39	go	5	7	1	1	442
40	go	6	10	1	1	418
41	nogo	3	7	0	1	n/a
42	go	2	4	1	1	336
43	go	7	13	1	1	431
44	go	5	13	1	1	354
45	go	7	7	1	1	414
46	go	8	16	1	1	363
47	go	2	7	1	1	385
48	go	7	13	1	1	386
49	go	4	10	1	1	378
50	go	1	10	1	1	523
51	nogo	3	4	0	1	n/a
52	go	7	16	1	1	355
53	go	4	4	1	1	355
54	go	6	13	1	1	358
55	go	4	16	1	1	350
56	go	8	13	1	1	343
57	go	8	10	1	1	369
58	go	4	10	1	1	395
59	go	1	4	1	1	503
60	go	9	16	1	1	403
61	go	9	7	1	1	373
62	go	4	16	1	1	329
63	go	8	13	1	1	374
64	go	2	4	1	1	481
65	go	2	13	1	1	404
66	go	8	16	1	1	314
67	go	7	7	1	1	414
68	nogo	3	7	0	1	n/a
69	go	4	16	1	1	326
70	go	7	7	1	1	384
71	go	1	16	1	1	329
72	go	4	13	1	1	307
73	nogo	3	13	0	1	n/a
