onset	duration	trial_type	rating	response_time	database	identifier
6.247	6.015	vp	3	4.001	iaps	4652
21.144	6.007	vp	3	2.807	iaps	4623
32.434	6.006	vp	2	0.866	iaps	5811
48.518	6.016	dn	1	1.617	iaps	2715
61.634	6.016	dn	1	1.245	iaps	6370
74.734	6.015	dn	1	2.665	iaps	3300
90.831	6.016	ip	3	1.082	iaps	7400
103.529	6.004	ip	3	1.487	iaps	2341
117.000	6.009	ip	2	1.938	iaps	5450
133.073	6.009	vn	2	1.369	iaps	6210
145.850	6.004	vn	2	1.271	iaps	9470
159.232	6.017	vn	1	1.165	iaps	2753
175.332	6.016	dp	2	1.662	iaps	4659
189.330	6.016	dp	1	1.220	iaps	8080
201.528	6.015	dp	2	1.153	iaps	5660
217.615	6.009	in	3	1.415	iaps	6311
231.082	6.007	in	4	2.674	iaps	9265
243.754	6.011	in	4	1.618	iaps	7361
259.847	6.017	vt	1	1.049	iaps	7175
272.948	6.016	vt	1	1.482	iaps	6150
286.046	6.015	vt	1	1.275	iaps	7004
302.144	6.015	dn	1	2.031	iaps	9520
316.730	6.009	dn	1	1.519	iaps	9500
328.297	6.008	dn	1	1.189	iaps	9600
344.369	6.023	ip	3	1.401	iaps	4614
358.249	6.013	ip	3	1.018	iaps	2346
370.546	6.016	ip	3	1.611	iaps	8185
386.628	6.016	vn	1	1.332	iaps	6260
400.425	6.016	vn	1	3.512	iaps	2692
412.814	6.008	vn	3	1.798	iaps	9415
428.886	6.009	dp	1	1.730	iaps	1620
443.750	6.012	dp	1	1.369	iaps	7270
455.045	6.016	dp	1	1.419	iaps	2331
471.145	6.016	vt	2	2.328	iaps	2381
484.043	6.016	vt	1	1.119	iaps	2890
497.341	6.016	vt	1	0.972	iaps	2493
513.427	6.010	in	4	1.862	iaps	9452
527.810	6.008	in	3	2.116	iaps	6244
539.594	6.005	in	4	1.407	iaps	6315
555.677	6.016	vp	1	1.584	iaps	8350
570.077	6.016	vp	2	1.086	iaps	8400
581.876	6.016	vp	3	1.413	iaps	5260
