onset	duration	trial_type	rating	response_time	database	identifier
6.246	6.015	vp	3	1.745	iaps	4608
21.143	6.016	vp	2	1.437	iaps	4603
32.425	6.004	vp	2	2.011	iaps	5779
48.505	6.007	dn	3	2.308	iaps	1275
61.602	6.011	dn	n/a	n/a	iaps	7359
74.696	6.016	dn	3	1.971	iaps	2141
90.796	6.016	ip	2	2.825	iaps	8162
103.496	6.015	ip	2	1.870	iaps	2311
116.993	6.015	ip	2	0.588	iaps	5270
133.079	6.010	vn	2	1.025	iaps	2276
145.853	6.008	vn	2	2.817	iaps	9280
159.218	6.010	vn	4	1.780	iaps	1525
175.311	6.017	dp	1	0.768	iaps	4626
189.311	6.016	dp	n/a	n/a	iaps	8380
201.511	6.015	dp	2	1.629	iaps	5623
217.608	6.015	in	4	2.003	iaps	6312
231.105	6.006	in	3	2.519	iaps	9000
243.770	6.006	in	n/a	n/a	iaps	8230
259.844	6.006	vt	1	3.999	iaps	7491
272.927	6.016	vt	3	3.979	iaps	7185
286.026	6.016	vt	1	1.700	iaps	7235
302.126	6.015	dn	1	0.521	iaps	9584
316.723	6.016	dn	2	2.039	iaps	9340
328.322	6.004	dn	4	3.964	iaps	9622
344.386	6.009	ip	1	0.877	iaps	2650
358.259	6.006	ip	2	1.768	iaps	2352
370.542	6.016	ip	3	1.595	iaps	8490
386.642	6.016	vn	4	2.159	iaps	6242
400.441	6.016	vn	3	2.286	iaps	1111
412.839	6.016	vn	3	4.002	iaps	9120
428.936	6.004	dp	1	2.125	iaps	1340
443.817	6.007	dp	2	2.864	iaps	8030
455.082	6.009	dp	1	1.465	iaps	1999
471.174	6.016	vt	1	2.830	iaps	5510
484.074	6.017	vt	1	2.671	iaps	7170
497.374	6.016	vt	2	2.610	iaps	7006
513.471	6.016	in	4	1.953	iaps	9250
527.856	6.011	in	4	1.730	iaps	3061
539.622	6.010	in	2	1.646	iaps	6530
555.689	6.008	vp	3	2.796	iaps	8503
570.056	6.004	vp	2	2.932	iaps	8531
581.839	6.017	vp	4	2.803	iaps	4670
