onset	duration	trial_type	rating	response_time	database	identifier
6.260	6.012	vp	2	3.536	iaps	4290
21.156	6.016	vp	1	2.196	iaps	2395
32.455	6.016	vp	1	3.162	iaps	5700
48.553	6.015	dn	1	1.750	iaps	2120
61.655	6.012	dn	1	1.338	iaps	6230
74.748	6.007	dn	2	2.062	iaps	2455
90.812	6.009	ip	4	2.581	iaps	8034
103.476	6.011	ip	3	1.647	iaps	2170
116.971	6.016	ip	3	1.872	iaps	4800
133.070	6.016	vn	2	2.626	iaps	2590
145.869	6.015	vn	2	2.388	iaps	9180
159.267	6.015	vn	1	3.011	iaps	2278
175.353	6.009	dp	1	1.925	iaps	4610
189.319	6.007	dp	2	2.345	iaps	8120
201.491	6.011	dp	1	2.582	iaps	5600
217.586	6.016	in	4	2.674	iaps	3220
231.086	6.016	in	4	2.863	iaps	6561
243.767	6.016	in	4	2.395	iaps	6300
259.866	6.014	vt	1	1.785	iaps	7187
272.963	6.005	vt	1	2.255	iaps	7009
286.026	6.009	vt	1	2.445	iaps	7161
302.118	6.006	dn	1	2.372	iaps	9561
316.701	6.016	dn	2	2.012	iaps	9420
328.301	6.017	dn	2	2.607	iaps	9920
344.400	6.018	ip	4	0.021	iaps	2391
358.284	6.013	ip	3	2.951	iaps	2209
370.579	6.006	ip	4	3.132	iaps	8178
386.642	6.008	vn	2	2.947	iaps	2981
400.406	6.010	vn	1	1.652	iaps	1274
412.804	6.013	vn	2	2.892	iaps	9041
428.899	6.017	dp	1	1.877	iaps	1500
443.798	6.016	dp	1	2.279	iaps	7350
455.097	6.015	dp	1	2.342	iaps	1540
471.166	6.010	vt	1	1.963	iaps	2190
484.049	6.008	vt	1	1.635	iaps	7002
497.315	6.005	vt	1	2.559	iaps	5740
513.399	6.015	in	4	2.839	iaps	9050
527.798	6.016	in	4	1.995	iaps	2683
539.598	6.016	in	4	1.866	iaps	6213
555.695	6.016	vp	1	2.785	iaps	8179
570.080	6.011	vp	1	1.607	iaps	8510
581.865	6.008	vp	1	2.466	iaps	4641
