trial	trial_type	stimulus	fontsize	response	accuracy	reactiontime
1	go	1	10	1	1	480
2	go	4	4	1	1	536
3	go	1	13	1	1	543
4	go	1	13	1	1	453
5	go	5	7	1	1	458
6	go	1	16	1	1	430
7	go	8	13	1	1	381
8	go	6	16	1	1	396
9	go	5	13	1	1	480
10	go	7	7	1	1	450
11	go	7	7	1	1	559
12	go	9	10	1	1	624
13	go	2	7	1	1	594
14	nogo	3	4	0	1	n/a
15	go	8	10	1	1	518
16	go	5	16	1	1	465
17	go	5	16	1	1	425
18	go	6	10	1	1	512
19	go	1	7	1	1	488
20	go	8	10	1	1	570
21	go	9	13	1	1	557
22	go	8	4	1	1	556
23	go	2	4	1	1	548
24	go	7	7	1	1	586
25	go	6	16	1	1	555
26	go	4	10	1	1	570
27	go	8	7	1	1	539
28	go	6	4	1	1	557
29	go	8	10	1	1	480
30	go	2	10	1	1	539
31	go	9	10	1	1	554
32	go	8	10	1	1	570
33	go	9	7	1	1	568
34	go	5	4	1	1	696
35	go	2	16	1	1	621
36	go	4	16	1	1	562
37	nogo	3	13	0	1	n/a
38	go	5	16	1	1	375
39	go	5	13	1	1	506
40	go	6	4	1	1	522
41	nogo	3	7	0	1	n/a
42	go	2	7	1	1	504
43	go	7	16	1	1	403
44	go	5	16	1	1	350
45	go	7	7	1	1	321
46	go	8	4	1	1	313
47	go	2	4	1	1	350
48	go	7	16	1	1	412
49	go	4	10	1	1	426
50	go	1	7	1	1	520
51	nogo	3	4	0	1	n/a
52	go	7	16	1	1	432
53	go	4	7	1	1	401
54	go	6	4	1	1	417
55	go	4	7	1	1	421
56	go	8	4	1	1	410
57	go	8	16	1	1	407
58	go	4	13	1	1	422
59	go	1	10	1	1	414
60	go	9	16	1	1	429
61	go	9	13	1	1	444
62	go	4	4	1	1	460
63	go	8	13	1	1	474
64	go	2	7	1	1	468
65	go	2	13	1	1	436
66	go	8	7	1	1	428
67	go	7	13	1	1	444
68	nogo	3	13	0	1	n/a
69	go	4	10	1	1	366
70	go	7	13	1	1	381
71	go	1	13	1	1	492
72	go	4	10	1	1	534
73	nogo	3	10	0	1	n/a
74	go	5	10	1	1	390
75	go	9	16	1	1	400
76	go	8	4	1	1	404
77	go	4	13	1	1	318
78	go	7	13	1	1	410
79	go	4	13	1	1	405
80	go	1	13	1	1	509
81	go	2	10	1	1	411
82	go	6	10	1	1	426
83	go	6	4	1	1	419
84	go	4	13	1	1	423
85	go	6	7	1	1	455
86	go	6	16	1	1	436
87	go	9	16	1	1	371
88	go	9	7	1	1	340
89	go	7	10	1	1	368
90	go	6	10	1	1	413
91	go	4	7	1	1	352
92	go	1	7	1	1	304
93	go	7	7	1	1	360
94	nogo	3	7	1	0	352
95	nogo	3	16	1	0	304
96	go	9	4	1	1	428
97	go	8	13	1	1	376
98	go	2	10	1	1	323
99	go	7	13	1	1	277
100	go	6	7	1	1	352
101	go	6	10	1	1	344
102	go	1	7	1	1	405
103	go	9	7	1	1	397
104	go	9	16	1	1	322
105	nogo	3	10	0	1	n/a
106	go	1	4	1	1	357
107	go	4	16	1	1	368
108	go	1	10	1	1	358
109	go	1	13	1	1	355
110	go	2	10	1	1	385
111	nogo	3	4	0	1	n/a
112	go	6	4	1	1	375
113	go	8	4	1	1	404
114	go	5	13	1	1	373
115	go	9	16	1	1	374
116	nogo	3	10	1	0	345
117	go	9	13	1	1	429
118	go	5	4	1	1	386
119	go	5	10	1	1	368
120	go	4	16	1	1	396
121	go	2	10	1	1	374
122	go	6	10	1	1	356
123	go	8	10	1	1	351
124	nogo	3	13	0	1	n/a
125	go	8	16	1	1	417
126	go	4	4	1	1	430
127	go	4	7	1	1	330
128	go	2	13	1	1	442
129	go	5	7	1	1	501
130	go	2	13	1	1	428
131	go	1	7	1	1	621
132	go	1	4	1	1	703
133	go	5	7	1	1	720
134	go	9	4	1	1	801
135	go	5	16	1	1	818
136	go	4	16	1	1	876
137	go	5	16	1	1	801
138	nogo	3	13	0	1	n/a
139	go	4	10	1	1	516
140	go	2	10	1	1	577
141	go	5	13	1	1	549
142	go	6	4	1	1	561
143	go	9	16	1	1	606
144	go	4	16	1	1	545
145	go	6	16	1	1	612
146	nogo	3	4	0	1	n/a
147	go	1	13	1	1	583
148	go	5	10	1	1	640
149	go	5	4	1	1	750
150	go	4	13	1	1	768
151	go	6	13	1	1	781
152	go	4	4	1	1	772
153	go	5	4	1	1	742
154	go	5	16	1	1	735
155	go	6	13	1	1	752
156	go	2	16	1	1	675
157	nogo	3	4	0	1	n/a
158	go	8	16	1	1	487
159	nogo	3	4	0	1	n/a
160	go	1	10	1	1	568
161	go	9	7	1	1	439
162	nogo	3	16	0	1	n/a
163	go	2	4	1	1	555
164	go	7	4	1	1	565
165	go	6	7	1	1	586
166	go	6	4	1	1	601
167	go	2	10	1	1	683
168	go	2	16	1	1	698
169	go	8	7	1	1	670
170	go	8	10	1	1	659
171	go	6	4	1	1	676
172	nogo	3	4	0	1	n/a
173	go	2	16	1	1	538
174	go	1	10	1	1	474
175	go	6	7	1	1	623
176	go	1	4	1	1	661
177	nogo	3	16	0	1	n/a
178	go	1	7	1	1	539
179	go	7	13	1	1	623
180	go	2	13	1	1	841
181	go	9	7	1	1	679
