onset	duration	trial_type	rating	response_time	database	identifier
6.262	6.016	vp	2	0.240	iaps	4652
21.162	6.017	vp	2	1.103	iaps	4623
32.461	6.017	vp	2	1.185	iaps	5811
48.560	6.015	dn	1	0.937	iaps	2715
61.674	6.016	dn	2	0.832	iaps	6370
74.755	6.005	dn	2	0.796	iaps	3300
90.827	6.006	ip	3	0.916	iaps	7400
103.499	6.011	ip	3	1.980	iaps	2341
116.994	6.016	ip	4	0.838	iaps	5450
133.094	6.016	vn	2	2.116	iaps	6210
145.893	6.015	vn	2	0.961	iaps	9470
159.276	6.012	vn	2	1.359	iaps	2753
175.359	6.010	dp	2	3.264	iaps	4659
189.326	6.008	dp	1	1.392	iaps	8080
201.509	6.005	dp	2	0.890	iaps	5660
217.593	6.016	in	3	1.169	iaps	6311
231.093	6.016	in	4	0.578	iaps	9265
243.791	6.016	in	4	0.567	iaps	7361
259.888	6.004	vt	2	0.913	iaps	7175
272.969	6.007	vt	2	0.783	iaps	6150
286.033	6.009	vt	1	0.743	iaps	7004
302.114	6.011	dn	2	1.058	iaps	9520
316.691	6.017	dn	2	2.331	iaps	9500
328.291	6.016	dn	2	3.856	iaps	9600
344.390	6.020	ip	n/a	n/a	iaps	4614
358.287	6.016	ip	4	0.710	iaps	2346
370.574	6.010	ip	4	0.843	iaps	8185
386.640	6.008	vn	3	1.007	iaps	6260
400.413	6.010	vn	3	2.022	iaps	2692
412.808	6.015	vn	n/a	n/a	iaps	9415
428.907	6.016	dp	1	2.846	iaps	1620
443.804	6.016	dp	1	1.621	iaps	7270
455.089	6.013	dp	2	2.456	iaps	2331
471.183	6.005	vt	1	0.935	iaps	2381
484.048	6.008	vt	n/a	n/a	iaps	2890
497.312	6.010	vt	1	0.680	iaps	2493
513.392	6.013	in	n/a	n/a	iaps	9452
527.788	6.017	in	4	0.702	iaps	6244
539.588	6.015	in	4	0.757	iaps	6315
555.685	6.015	vp	2	0.595	iaps	8350
570.054	6.011	vp	2	1.512	iaps	8400
581.838	6.008	vp	n/a	n/a	iaps	5260
