onset	duration	trial_type	rating	response_time	database	identifier
6.250	6.013	vp	3	1.254	iaps	4652
21.147	6.016	vp	2	1.336	iaps	4623
32.445	6.016	vp	2	3.367	iaps	5811
48.542	6.016	dn	2	0.762	iaps	2715
61.657	6.006	dn	2	1.158	iaps	6370
74.738	6.008	dn	2	0.824	iaps	3300
90.802	6.011	ip	3	0.912	iaps	7400
103.496	6.017	ip	3	0.910	iaps	2341
116.995	6.017	ip	3	1.486	iaps	5450
133.094	6.016	vn	2	0.963	iaps	6210
145.892	6.015	vn	3	0.904	iaps	9470
159.278	6.010	vn	2	1.326	iaps	2753
175.344	6.008	dp	2	1.046	iaps	4659
189.328	6.004	dp	2	1.599	iaps	8080
201.511	6.016	dp	1	0.810	iaps	5660
217.611	6.017	in	3	1.362	iaps	6311
231.110	6.015	in	4	0.837	iaps	9265
243.807	6.016	in	4	1.791	iaps	7361
259.894	6.010	vt	1	1.076	iaps	7175
272.960	6.008	vt	1	0.890	iaps	6150
286.033	6.010	vt	1	1.022	iaps	7004
302.110	6.017	dn	2	0.826	iaps	9520
316.710	6.016	dn	1	1.170	iaps	9500
328.309	6.016	dn	2	0.843	iaps	9600
344.407	6.015	ip	3	0.985	iaps	4614
358.292	6.011	ip	3	1.054	iaps	2346
370.568	6.008	ip	4	1.892	iaps	8185
386.625	6.006	vn	3	1.021	iaps	6260
400.408	6.017	vn	2	1.028	iaps	2692
412.811	6.014	vn	2	1.565	iaps	9415
428.908	6.015	dp	1	0.994	iaps	1620
443.805	6.015	dp	1	0.770	iaps	7270
455.091	6.011	dp	1	0.996	iaps	2331
471.167	6.007	vt	1	3.480	iaps	2381
484.030	6.010	vt	2	1.627	iaps	2890
497.324	6.016	vt	1	0.777	iaps	2493
513.423	6.017	in	4	1.764	iaps	9452
527.823	6.015	in	3	1.440	iaps	6244
539.621	6.015	in	4	1.142	iaps	6315
555.719	6.004	vp	2	1.118	iaps	8350
570.081	6.007	vp	2	1.501	iaps	8400
581.863	6.010	vp	2	0.980	iaps	5260
