trial	response	correct_response	accuracy	reaction_time
1	l	l	1	832
2	k	k	1	1772
3	l	l	1	661
4	k	k	1	693
5	j	j	1	1101
6	k	k	1	1112
7	l	l	1	1134
8	l	l	1	878
9	l	l	1	1104
10	l	l	1	1084
11	j	j	1	751
12	k	k	1	877
13	l	j	0	685
14	k	k	1	688
15	j	j	1	1216
16	k	k	1	1034
17	j	j	1	1423
18	k	k	1	791
19	j	j	1	677
20	l	l	1	662
