trial	trial_type	stimulus	fontsize	response	accuracy	reactiontime
1	go	1	4	1	1	932
2	go	4	4	1	1	363
3	go	1	4	1	1	298
4	go	1	4	1	1	252
5	go	5	10	1	1	273
6	go	1	7	1	1	262
7	go	8	16	1	1	265
8	go	6	7	1	1	237
9	go	5	10	1	1	212
10	go	7	7	1	1	210
11	go	7	7	1	1	236
12	go	9	10	1	1	230
13	go	2	10	1	1	239
14	nogo	3	10	1	0	251
15	go	8	16	1	1	256
16	go	5	16	1	1	132
17	go	5	16	1	1	198
18	go	6	16	1	1	220
19	go	1	7	1	1	340
20	go	8	13	1	1	296
21	go	9	10	1	1	240
22	go	8	10	1	1	259
23	go	2	10	1	1	311
24	go	7	7	1	1	343
25	go	6	10	1	1	314
26	go	4	4	1	1	336
27	go	8	10	1	1	356
28	go	6	13	1	1	327
29	go	8	7	1	1	370
30	go	2	7	1	1	280
31	go	9	16	1	1	372
32	go	8	10	1	1	315
33	go	9	4	1	1	302
34	go	5	7	1	1	311
35	go	2	7	1	1	311
36	go	4	13	1	1	299
37	nogo	3	16	1	0	245
38	go	5	16	1	1	174
39	go	5	13	1	1	295
40	go	6	16	1	1	314
41	nogo	3	4	0	1	n/a
42	go	2	4	1	1	579
43	go	7	10	1	1	313
44	go	5	7	1	1	256
45	go	7	13	1	1	318
46	go	8	16	1	1	313
47	go	2	10	1	1	300
48	go	7	7	1	1	291
49	go	4	10	1	1	240
50	go	1	4	1	1	313
51	nogo	3	10	1	0	287
52	go	7	16	1	1	258
53	go	4	16	1	1	232
54	go	6	13	1	1	137
55	go	4	7	1	1	257
56	go	8	4	1	1	374
57	go	8	4	1	1	271
58	go	4	16	1	1	270
59	go	1	13	1	1	270
60	go	9	16	1	1	295
61	go	9	7	1	1	297
62	go	4	4	1	1	353
63	go	8	16	1	1	241
64	go	2	4	1	1	239
65	go	2	13	1	1	282
66	go	8	13	1	1	256
67	go	7	10	1	1	281
68	nogo	3	13	1	0	311
69	go	4	4	1	1	233
70	go	7	4	1	1	227
71	go	1	13	1	1	203
72	go	4	4	1	1	248
73	nogo	3	4	1	0	263
74	go	5	7	1	1	119
75	go	9	7	1	1	261
76	go	8	10	1	1	161
77	go	4	16	1	1	180
78	go	7	7	1	1	104
79	go	4	13	1	1	240
80	go	1	10	1	1	274
81	go	2	13	1	1	309
82	go	6	16	1	1	314
83	go	6	7	1	1	315
84	go	4	7	1	1	327
85	go	6	10	1	1	317
86	go	6	16	1	1	287
87	go	9	10	1	1	288
88	go	9	13	1	1	231
89	go	7	4	1	1	232
90	go	6	4	1	1	315
91	go	4	4	1	1	305
92	go	1	16	1	1	306
93	go	7	16	1	1	337
94	nogo	3	4	0	1	n/a
95	nogo	3	10	1	0	493
96	go	9	4	1	1	309
97	go	8	16	1	1	350
98	go	2	10	1	1	325
99	go	7	13	1	1	323
100	go	6	7	1	1	208
101	go	6	16	1	1	252
102	go	1	7	1	1	344
103	go	9	16	1	1	311
104	go	9	16	1	1	247
105	nogo	3	16	0	1	n/a
106	go	1	13	1	1	476
107	go	4	10	1	1	292
108	go	1	7	1	1	240
109	go	1	16	1	1	293
110	go	2	4	1	1	327
111	nogo	3	13	0	1	n/a
112	go	6	10	1	1	601
113	go	8	4	1	1	323
114	go	5	4	1	1	458
115	go	9	10	1	1	277
116	nogo	3	10	1	0	312
117	go	9	4	1	1	254
118	go	5	4	1	1	227
119	go	5	7	1	1	518
120	go	4	7	1	1	314
121	go	2	7	1	1	296
122	go	6	13	1	1	309
123	go	8	10	1	1	286
124	nogo	3	13	1	0	319
125	go	8	13	1	1	291
126	go	4	4	1	1	138
127	go	4	4	1	1	297
128	go	2	7	1	1	232
129	go	5	7	1	1	256
130	go	2	10	1	1	252
131	go	1	16	1	1	249
132	go	1	13	1	1	337
133	go	5	13	1	1	333
134	go	9	7	1	1	369
135	go	5	4	1	1	271
136	go	4	7	1	1	356
137	go	5	4	1	1	242
138	nogo	3	4	1	0	375
139	go	4	7	1	1	241
140	go	2	7	1	1	259
141	go	5	13	1	1	261
142	go	6	4	1	1	322
143	go	9	16	1	1	325
144	go	4	4	1	1	408
145	go	6	16	1	1	300
146	nogo	3	16	1	0	364
147	go	1	4	1	1	224
148	go	5	4	1	1	311
149	go	5	13	1	1	267
150	go	4	7	1	1	313
151	go	6	10	1	1	123
152	go	4	7	1	1	328
153	go	5	16	1	1	341
154	go	5	13	1	1	276
155	go	6	13	1	1	389
156	go	2	16	1	1	366
157	nogo	3	7	1	0	361
158	go	8	4	1	1	222
159	nogo	3	16	1	0	318
160	go	1	16	1	1	358
161	go	9	10	1	1	217
162	nogo	3	13	1	0	256
163	go	2	10	1	1	278
164	go	7	13	1	1	183
165	go	6	16	1	1	256
166	go	6	4	1	1	257
167	go	2	10	1	1	320
168	go	2	10	1	1	314
169	go	8	16	1	1	301
170	go	8	4	1	1	297
171	go	6	7	1	1	329
172	nogo	3	7	1	0	313
173	go	2	10	1	1	236
174	go	1	7	1	1	188
175	go	6	13	1	1	203
176	go	1	10	1	1	230
177	nogo	3	10	1	0	225
178	go	1	13	1	1	302
179	go	7	16	1	1	80
180	go	2	10	1	1	313
181	go	9	10	1	1	216
182	go	9	10	1	1	242
183	go	8	13	1	1	260
184	go	7	13	1	1	166
185	go	2	10	1	1	276
186	go	7	7	1	1	254
187	go	9	4	1	1	322
188	go	7	10	1	1	345
189	go	1	10	1	1	313
190	go	4	4	1	1	363
191	go	8	10	1	1	305
192	go	5	4	1	1	339
193	go	9	4	1	1	297
194	go	5	16	1	1	354
195	go	6	13	1	1	236
196	go	9	13	1	1	350
197	nogo	3	4	0	1	n/a
198	go	9	13	1	1	488
199	go	8	7	1	1	400
200	go	7	13	1	1	352
201	nogo	3	16	0	1	n/a
202	go	4	16	1	1	576
203	nogo	3	13	0	1	n/a
204	go	1	16	1	1	600
205	go	6	7	1	1	417
206	go	5	10	1	1	315
207	go	9	7	1	1	325
208	go	2	7	1	1	366
209	go	7	13	1	1	337
210	go	7	13	1	1	375
211	go	1	10	1	1	374
212	go	8	7	1	1	297
213	go	7	16	1	1	313
214	go	1	13	1	1	348
215	go	7	13	1	1	326
216	nogo	3	16	1	0	325
217	nogo	3	13	1	0	275
218	go	2	16	0	0	n/a
219	go	2	7	1	1	686
220	go	7	13	1	1	304
221	go	5	13	1	1	268
222	nogo	3	4	1	0	269
223	go	7	7	1	1	173
224	go	8	13	1	1	217
225	go	9	16	1	1	214
