trial	response	correct_response	accuracy	reaction_time
1	l	l	1	1022
2	l	l	1	873
3	l	l	1	1357
4	j	j	1	972
5	j	j	1	770
6	k	k	1	1172
7	k	k	1	1142
8	j	j	1	952
9	k	k	1	1039
10	k	k	1	1783
11	k	k	1	1171
12	l	l	1	1375
13	j	j	1	931
14	l	l	1	1565
15	l	l	1	973
16	k	j	0	1935
17	k	k	1	1085
18	l	l	1	1445
19	k	k	1	958
20	j	j	1	662
