trial	response	correct_response	accuracy	reaction_time
1	8	8	1	1200
2	14	14	1	1606
3	16	16	1	1775
4	11	11	1	1032
5	6	6	1	1073
6	10	10	1	1693
7	13	13	1	1696
8	7	7	1	1003
9	3	3	1	1061
10	7	7	1	1122
11	10	10	1	1757
12	11	11	1	1416
13	10	10	1	1705
14	8	8	1	1025
15	14	14	1	1833
16	15	15	1	1960
17	10	10	1	1400
18	9	9	1	720
19	8	8	1	969
20	12	12	1	1579
21	13	13	1	1446
22	5	5	1	998
23	9	9	1	678
24	11	11	1	1064
25	4	4	1	1073
26	7	7	1	946
27	14	14	1	1840
28	13	13	1	1481
29	9	9	1	890
30	6	6	1	812
