onset	duration	trial_type	rating	response_time	database	identifier
6.263	6.016	dp	1	1.928	iaps	4610
18.662	6.016	dp	1	2.180	iaps	8178
32.460	6.016	dp	1	1.861	iaps	4800
48.557	6.004	vn	1	3.196	iaps	9420
62.145	6.009	vn	1	2.455	iaps	6230
74.719	6.009	vn	1	1.997	iaps	2590
90.782	6.013	ip	3	1.675	iaps	5600
105.778	6.016	ip	3	1.730	iaps	2395
116.977	6.017	ip	4	1.353	iaps	4641
133.075	6.016	dn	1	1.544	iaps	1274
146.161	6.011	dn	2	1.349	iaps	6300
159.227	6.010	dn	1	1.518	iaps	3220
175.294	6.006	vt	1	1.504	iaps	7187
189.176	6.005	vt	1	2.844	iaps	7002
201.460	6.016	vt	1	1.324	iaps	7161
217.560	6.016	in	3	1.884	iaps	2120
230.258	6.015	in	3	1.203	iaps	9180
243.756	6.015	in	3	2.694	iaps	9041
259.843	6.009	vp	1	1.303	iaps	8034
274.209	6.007	vp	1	1.269	iaps	8510
285.975	6.004	vp	1	2.118	iaps	2209
302.059	6.016	dn	1	1.625	iaps	6213
314.858	6.017	dn	1	2.361	iaps	9561
328.257	6.016	dn	1	1.208	iaps	6561
344.355	6.040	vp	3	1.308	iaps	8179
357.958	6.009	vp	2	1.129	iaps	2391
370.524	6.008	vp	3	1.555	iaps	1500
386.607	6.004	in	3	1.842	iaps	9920
400.827	6.013	in	4	3.555	iaps	2981
412.828	6.013	in	3	1.597	iaps	2278
428.922	6.016	vt	2	1.920	iaps	2190
443.719	6.004	vt	1	3.716	iaps	5740
455.101	6.006	vt	1	1.414	iaps	7009
471.164	6.009	dp	2	1.597	iaps	7350
486.140	6.004	dp	1	2.098	iaps	4290
497.323	6.016	dp	2	1.247	iaps	2170
513.423	6.016	vn	3	0.742	iaps	9050
527.121	6.015	vn	3	1.443	iaps	2455
539.619	6.016	vn	3	2.870	iaps	2683
555.705	6.011	ip	4	0.860	iaps	1540
568.172	6.008	ip	4	1.167	iaps	5700
581.855	6.005	ip	4	0.877	iaps	8120
