onset	duration	trial_type	rating	response_time	database	identifier
6.060	6.007	vp	n/a	n/a	iaps	1722
20.616	6.011	vp	n/a	n/a	iaps	2208
32.210	6.016	vp	n/a	n/a	iaps	8496
48.310	6.016	dn	n/a	n/a	iaps	9620
62.009	6.015	dn	n/a	n/a	iaps	9320
74.506	6.015	dn	n/a	n/a	iaps	6510
90.591	6.011	ip	n/a	n/a	iaps	2310
103.651	6.008	ip	n/a	n/a	iaps	8180
116.708	6.006	ip	n/a	n/a	iaps	7430
132.792	6.016	vt	n/a	n/a	iaps	7050
147.792	6.016	vt	n/a	n/a	iaps	2214
158.991	6.016	vt	n/a	n/a	iaps	7020
175.088	6.016	in	n/a	n/a	iaps	9331
189.885	6.006	in	n/a	n/a	iaps	9621
201.249	6.008	in	n/a	n/a	iaps	9001
217.308	6.004	dp	n/a	n/a	iaps	5820
231.090	6.017	dp	n/a	n/a	iaps	8210
243.490	6.016	dp	n/a	n/a	iaps	4680
259.590	6.015	vn	n/a	n/a	iaps	4621
273.587	6.015	vn	n/a	n/a	iaps	9830
285.775	6.009	vn	n/a	n/a	iaps	6250
301.848	6.008	dp	n/a	n/a	iaps	5000
315.713	6.017	dp	n/a	n/a	iaps	8341
327.989	6.017	dp	n/a	n/a	iaps	4640
344.089	6.017	vn	n/a	n/a	iaps	6821
356.789	6.015	vn	n/a	n/a	iaps	9042
370.269	6.016	vn	n/a	n/a	iaps	2490
386.367	6.004	ip	n/a	n/a	iaps	2345
399.330	6.008	ip	n/a	n/a	iaps	8090
412.487	6.007	ip	n/a	n/a	iaps	4607
428.559	6.015	vt	n/a	n/a	iaps	7035
442.054	6.016	vt	n/a	n/a	iaps	7090
454.754	6.015	vt	n/a	n/a	iaps	7950
470.852	6.015	dn	n/a	n/a	iaps	2053
483.649	6.004	dn	n/a	n/a	iaps	9530
497.014	6.007	dn	n/a	n/a	iaps	6550
513.077	6.010	vp	n/a	n/a	iaps	7260
527.741	6.012	vp	n/a	n/a	iaps	8370
539.237	6.016	vp	n/a	n/a	iaps	1463
555.319	6.016	in	n/a	n/a	iaps	6243
568.018	6.015	in	n/a	n/a	iaps	9432
581.515	6.015	in	n/a	n/a	iaps	9495
