trial	trial_type	stimulus	fontsize	response	accuracy	reactiontime
1	go	1	13	1	1	936
2	go	4	16	1	1	604
3	go	1	10	1	1	618
4	go	1	4	1	1	537
5	go	5	7	1	1	670
6	go	1	16	1	1	641
7	go	8	4	1	1	654
8	go	6	10	1	1	616
9	go	5	16	1	1	639
10	go	7	7	1	1	657
11	go	7	4	1	1	653
12	go	9	16	1	1	714
13	go	2	7	1	1	640
14	nogo	3	13	0	1	n/a
15	go	8	13	1	1	911
16	go	5	13	1	1	628
17	go	5	7	1	1	643
18	go	6	16	1	1	680
19	go	1	10	1	1	605
20	go	8	4	1	1	642
21	go	9	16	1	1	679
22	go	8	16	1	1	608
23	go	2	13	1	1	619
24	go	7	16	1	1	666
25	go	6	7	1	1	701
26	go	4	7	1	1	648
27	go	8	7	1	1	624
28	go	6	13	1	1	622
29	go	8	4	1	1	602
30	go	2	16	1	1	613
31	go	9	10	1	1	610
32	go	8	16	1	1	610
33	go	9	4	1	1	542
34	go	5	10	1	1	592
35	go	2	4	1	1	663
36	go	4	4	1	1	652
37	nogo	3	13	0	1	n/a
38	go	5	4	1	1	895
39	go	5	4	1	1	599
40	go	6	4	1	1	640
41	nogo	3	10	0	1	n/a
42	go	2	13	1	1	995
43	go	7	4	1	1	608
44	go	5	16	1	1	717
45	go	7	7	1	1	620
46	go	8	10	1	1	711
47	go	2	7	1	1	685
48	go	7	4	1	1	660
49	go	4	16	1	1	676
50	go	1	10	1	1	669
51	nogo	3	7	0	1	n/a
52	go	7	13	1	1	773
53	go	4	10	1	1	612
54	go	6	16	1	1	676
55	go	4	10	1	1	627
56	go	8	16	1	1	685
57	go	8	16	1	1	699
58	go	4	7	1	1	646
59	go	1	7	1	1	641
60	go	9	4	1	1	677
61	go	9	4	1	1	699
62	go	4	10	1	1	647
63	go	8	13	1	1	685
64	go	2	10	1	1	653
65	go	2	4	1	1	673
66	go	8	7	1	1	672
67	go	7	10	1	1	688
68	nogo	3	16	0	1	n/a
69	go	4	4	1	1	1068
70	go	7	13	1	1	579
71	go	1	13	1	1	617
72	go	4	10	1	1	588
73	nogo	3	10	0	1	n/a
74	go	5	4	1	1	988
75	go	9	16	1	1	648
76	go	8	16	1	1	598
77	go	4	4	1	1	545
78	go	7	10	1	1	610
79	go	4	10	1	1	677
80	go	1	13	1	1	628
81	go	2	16	1	1	668
82	go	6	13	1	1	682
83	go	6	4	1	1	676
84	go	4	10	1	1	644
85	go	6	4	1	1	612
86	go	6	16	1	1	703
87	go	9	7	1	1	679
88	go	9	7	1	1	700
89	go	7	10	1	1	688
90	go	6	10	1	1	664
91	go	4	10	1	1	637
92	go	1	7	1	1	635
93	go	7	4	1	1	611
94	nogo	3	7	0	1	n/a
95	nogo	3	7	0	1	n/a
96	go	9	13	1	1	1082
97	go	8	7	1	1	452
98	go	2	7	1	1	586
99	go	7	13	1	1	425
100	go	6	13	1	1	397
101	go	6	10	1	1	440
102	go	1	16	1	1	502
103	go	9	13	1	1	449
104	go	9	10	1	1	463
105	nogo	3	4	0	1	n/a
106	go	1	10	1	1	895
107	go	4	4	1	1	459
108	go	1	10	1	1	388
109	go	1	16	1	1	329
110	go	2	16	1	1	294
111	nogo	3	7	1	0	259
112	go	6	13	1	1	275
113	go	8	13	1	1	228
114	go	5	4	1	1	129
115	go	9	13	1	1	263
116	nogo	3	4	1	0	263
117	go	9	4	1	1	271
118	go	5	4	1	1	601
119	go	5	10	1	1	435
120	go	4	7	1	1	481
121	go	2	4	1	1	334
122	go	6	10	1	1	407
123	go	8	13	1	1	350
124	nogo	3	7	1	0	347
125	go	8	4	1	1	304
126	go	4	10	1	1	245
127	go	4	4	1	1	231
128	go	2	16	1	1	201
129	go	5	10	1	1	147
130	go	2	16	1	1	305
131	go	1	13	1	1	352
132	go	1	7	1	1	369
133	go	5	16	1	1	276
134	go	9	7	1	1	763
135	go	5	7	1	1	823
136	go	4	16	1	1	753
137	go	5	4	1	1	725
138	nogo	3	16	0	1	n/a
139	go	4	16	1	1	399
140	go	2	10	1	1	277
141	go	5	4	1	1	526
142	go	6	7	1	1	591
143	go	9	13	1	1	652
144	go	4	10	1	1	621
145	go	6	16	1	1	585
146	nogo	3	16	0	1	n/a
147	go	1	13	1	1	368
148	go	5	7	1	1	291
149	go	5	16	1	1	280
150	go	4	16	1	1	250
151	go	6	13	1	1	217
152	go	4	10	1	1	332
153	go	5	7	1	1	279
154	go	5	13	1	1	526
155	go	6	10	1	1	404
156	go	2	7	1	1	622
157	nogo	3	16	0	1	n/a
158	go	8	10	1	1	477
159	nogo	3	4	1	0	374
160	go	1	16	1	1	293
161	go	9	13	1	1	236
162	nogo	3	16	1	0	209
163	go	2	13	1	1	183
164	go	7	7	1	1	224
165	go	6	16	1	1	263
166	go	6	13	1	1	278
167	go	2	13	1	1	344
168	go	2	10	1	1	371
169	go	8	7	1	1	440
170	go	8	4	1	1	455
171	go	6	7	1	1	419
172	nogo	3	4	0	1	n/a
173	go	2	13	1	1	710
174	go	1	7	1	1	382
175	go	6	10	1	1	356
176	go	1	10	1	1	439
177	nogo	3	13	1	0	351
178	go	1	10	1	1	308
179	go	7	16	1	1	253
180	go	2	13	1	1	397
181	go	9	10	1	1	482
182	go	9	16	1	1	732
183	go	8	13	1	1	722
184	go	7	4	1	1	786
185	go	2	16	1	1	781
186	go	7	16	1	1	712
187	go	9	7	1	1	755
188	go	7	4	1	1	703
189	go	1	7	1	1	763
190	go	4	10	1	1	824
191	go	8	7	1	1	907
192	go	5	13	1	1	763
193	go	9	4	1	1	777
194	go	5	4	1	1	726
195	go	6	7	1	1	740
196	go	9	16	1	1	735
197	nogo	3	4	0	1	n/a
198	go	9	16	1	1	838
199	go	8	7	1	1	699
200	go	7	4	1	1	742
201	nogo	3	13	0	1	n/a
202	go	4	4	1	1	940
203	nogo	3	7	0	1	n/a
204	go	1	10	1	1	469
205	go	6	10	1	1	636
206	go	5	7	1	1	630
207	go	9	7	1	1	668
208	go	2	16	1	1	640
209	go	7	13	1	1	667
210	go	7	7	1	1	668
211	go	1	7	1	1	684
212	go	8	4	1	1	676
213	go	7	13	1	1	625
214	go	1	7	1	1	689
215	go	7	13	1	1	643
216	nogo	3	10	0	1	n/a
217	nogo	3	13	1	0	658
218	go	2	4	1	1	737
219	go	2	16	1	1	685
220	go	7	13	1	1	656
221	go	5	13	1	1	651
222	nogo	3	13	0	1	n/a
223	go	7	10	1	1	834
224	go	8	13	1	1	667
225	go	9	10	1	1	657
