trial	trial_type	stimulus	fontsize	response	accuracy	reactiontime
1	go	1	13	1	1	645
2	go	4	13	1	1	456
3	go	1	10	1	1	273
4	go	1	4	1	1	421
5	go	5	13	1	1	376
6	go	1	13	1	1	396
7	go	8	10	1	1	642
8	go	6	4	1	1	486
9	go	5	7	1	1	436
10	go	7	13	1	1	391
11	go	7	10	1	1	386
12	go	9	10	1	1	409
13	go	2	7	1	1	566
14	nogo	3	10	0	1	n/a
15	go	8	4	1	1	448
16	go	5	10	1	1	405
17	go	5	10	1	1	312
18	go	6	13	1	1	260
19	go	1	4	1	1	441
20	go	8	10	1	1	484
21	go	9	4	1	1	459
22	go	8	10	1	1	460
23	go	2	4	1	1	411
24	go	7	4	1	1	434
25	go	6	10	1	1	454
26	go	4	7	1	1	453
27	go	8	7	1	1	586
28	go	6	13	1	1	426
29	go	8	10	1	1	404
30	go	2	16	1	1	509
31	go	9	13	1	1	457
32	go	8	10	1	1	401
33	go	9	4	1	1	428
34	go	5	16	1	1	422
35	go	2	10	1	1	488
36	go	4	7	1	1	418
37	nogo	3	16	1	0	210
38	go	5	4	1	1	572
39	go	5	10	1	1	309
40	go	6	7	1	1	273
41	nogo	3	16	0	1	n/a
42	go	2	4	1	1	414
43	go	7	13	1	1	430
44	go	5	10	1	1	522
45	go	7	7	1	1	403
46	go	8	7	1	1	353
47	go	2	13	1	1	444
48	go	7	13	1	1	479
49	go	4	13	1	1	480
50	go	1	16	1	1	524
51	nogo	3	7	0	1	n/a
52	go	7	13	1	1	453
53	go	4	13	1	1	451
54	go	6	10	1	1	471
55	go	4	4	1	1	336
56	go	8	10	1	1	445
57	go	8	13	1	1	468
58	go	4	13	1	1	444
59	go	1	16	1	1	486
60	go	9	7	1	1	461
61	go	9	7	1	1	416
62	go	4	4	1	1	550
63	go	8	7	1	1	433
64	go	2	13	1	1	382
65	go	2	4	1	1	537
66	go	8	16	1	1	470
67	go	7	13	1	1	444
68	nogo	3	10	1	0	488
69	go	4	4	1	1	666
70	go	7	10	1	1	489
71	go	1	10	1	1	550
72	go	4	7	1	1	526
73	nogo	3	10	0	1	n/a
74	go	5	16	1	1	434
75	go	9	13	1	1	379
76	go	8	7	1	1	447
77	go	4	4	1	1	444
78	go	7	16	1	1	412
79	go	4	4	1	1	491
80	go	1	7	1	1	458
81	go	2	10	1	1	506
82	go	6	13	1	1	477
83	go	6	10	1	1	469
84	go	4	10	1	1	420
85	go	6	4	1	1	372
86	go	6	16	1	1	574
87	go	9	4	1	1	505
88	go	9	10	1	1	410
89	go	7	10	1	1	369
90	go	6	16	1	1	367
91	go	4	16	1	1	340
92	go	1	4	1	1	316
93	go	7	7	1	1	432
94	nogo	3	4	1	0	312
95	nogo	3	16	0	1	n/a
96	go	9	13	0	0	n/a
97	go	8	4	0	0	n/a
98	go	2	4	0	0	n/a
99	go	7	10	0	0	n/a
100	go	6	16	1	1	504
101	go	6	7	1	1	456
102	go	1	7	1	1	480
103	go	9	13	1	1	407
104	go	9	10	1	1	495
105	nogo	3	7	0	1	n/a
106	go	1	4	1	1	536
107	go	4	7	1	1	507
108	go	1	7	1	1	420
109	go	1	10	1	1	549
110	go	2	13	1	1	435
