onset	duration	offer	proposer	face_onset	offer_onset	decision_onset	response_time	feedback_onset	response
2.042697753	14.17247216	2	computer	2.042697753	4.18150529	9.214825903	0.594649255	9.809475158	-1
18.42676176	14.02615536	3	computer	18.42676176	20.44447453	25.45260161	0.490221055	25.94282267	-1
35.59087352	14.02848124	11	computer	35.59087352	37.6021159	42.61904177	0.057684336	42.67672611	1
51.75471163	14.06894645	1	computer	51.75471163	53.76880989	58.78549637	5.010403538	63.79589991	0
69.95472132	14.03006097	2	PRP1	69.95472132	71.96876991	76.98448341	0.560386474	77.54486989	-1
85.10315318	14.02934083	1	computer	85.10315318	87.11605256	92.13221221	0.593865587	92.7260778	-1
103.2563713	14.02253893	9	PRP2	103.2563713	105.2683077	110.2786048	0.681589541	110.9601943	1
120.3923212	14.01627792	2	computer	120.3923212	122.4012976	127.4081235	0.501348822	127.9094723	-1
138.5204619	14.03088537	11	PRP3	138.5204619	140.5348454	145.5510224	0.505219057	146.0562414	1
155.6699538	14.03178265	4	computer	155.6699538	157.6841398	162.7014763	0.760002721	163.4614791	-1
170.8192507	14.03087548	9	computer	170.8192507	172.833901	177.8498332	0.607723867	178.4575571	1
185.958401	14.02269465	9	computer	185.958401	187.9635597	192.9805555	0.480805382	193.4613609	1
201.0986135	14.05601355	1	PRP2	201.0986135	203.1117043	208.1279116	5.009857594	213.1377691	0
216.2746894	14.02204624	9	PRP4	216.2746894	218.2829074	223.2966397	0.609759648	223.9063993	1
232.4349399	14.03213482	8	computer	232.4349399	234.4496226	239.4667979	0.371100315	239.8378983	1
250.5861318	14.03096137	1	computer	250.5861318	252.5998797	257.6168099	0.388581818	258.0053917	-1
266.7381397	14.0273164	3	computer	266.7381397	268.7493064	273.7652431	0.038991856	273.804235	1
281.8865026	14.0266474	1	PRP3	281.8865026	283.8962845	288.9128457	1.089209038	290.0020547	-1
300.0340368	14.01485196	10	computer	300.0340368	302.0425844	307.0485835	0.53259444	307.581178	1
315.1848536	14.02221237	2	PRP2	315.1848536	317.1990889	322.2067598	0.558841971	322.7656018	-1
330.3183555	14.01901303	10	computer	330.3183555	332.3318702	337.337133	0.62894429	337.9660773	1
347.4526333	14.02962254	10	PRP4	347.4526333	349.4651791	354.4819892	0.490095103	354.9720843	1
362.6225161	14.0261366	10	PRP5	362.6225161	364.6307888	369.6483826	0.485532593	370.1339152	1
380.0170699	14.02916496	2	computer	380.0170699	382.0292618	387.0460852	0.410650051	387.4567353	-1
395.1666527	14.02616285	2	PRP4	395.1666527	397.1757233	402.1925564	0.388067805	402.5806242	-1
410.303911	14.02675382	8	computer	410.303911	412.3196834	417.3303629	0.546254873	417.8766178	1
426.4520194	14.01837415	8	computer	426.4520194	428.4630764	433.4701123	0.393081472	433.8631938	1
442.5859702	14.02831505	1	PRP6	442.5859702	444.5965241	449.6140389	0.418380241	450.0324191	-1
457.7334735	14.03094167	8	PRP6	457.7334735	459.746312	464.7641306	0.388092532	465.1522231	1
472.9061497	14.02273674	8	PRP3	472.9061497	474.9128944	479.9285852	0.32858513	480.2571703	1
488.0488055	14.0276188	4	PRP6	488.0488055	490.0595913	495.0761725	0.037352812	495.1135253	1
504.1986871	14.01462738	9	computer	504.1986871	506.206422	511.2130899	0.417048951	511.6301389	1
519.3335892	14.01958657	3	PRP1	519.3335892	521.3453661	526.3529078	0.524657497	526.8775653	-1
534.466648	14.02943757	9	PRP1	534.466648	536.4783618	541.495847	0.399490527	541.8953375	1
552.6227667	14.02360161	8	PRP5	552.6227667	554.6284842	559.6461448	0.389961458	560.0361062	1
567.7653106	14.03001203	3	PRP5	567.7653106	569.7781589	574.7950136	0.405476656	575.2004903	-1
