trial	response	correct_response	accuracy	reaction_time
1	l	l	1	1142
2	l	l	1	958
3	j	j	1	1162
4	l	l	1	969
5	j	j	1	886
6	j	j	1	1083
7	k	k	1	1029
8	k	k	1	1370
9	l	l	1	700
10	k	k	1	794
11	l	l	1	935
12	l	l	1	1163
13	k	k	1	837
14	j	j	1	671
15	k	k	1	899
16	l	l	1	587
17	l	l	1	900
18	l	l	1	984
19	k	k	1	1066
20	l	l	1	1006
