trial	trial_type	stimulus	fontsize	response	accuracy	reactiontime
1	go	1	16	1	1	742
2	go	4	16	1	1	315
3	go	1	16	1	1	234
4	go	1	7	1	1	205
5	go	5	16	1	1	227
6	go	1	4	1	1	361
7	go	8	13	1	1	316
8	go	6	13	1	1	270
9	go	5	10	1	1	317
10	go	7	10	1	1	296
11	go	7	4	1	1	241
12	go	9	10	1	1	192
13	go	2	13	1	1	314
14	nogo	3	7	1	0	345
15	go	8	13	1	1	383
16	go	5	7	1	1	251
17	go	5	16	1	1	222
18	go	6	13	1	1	177
19	go	1	16	1	1	220
20	go	8	16	1	1	269
21	go	9	13	1	1	239
22	go	8	10	1	1	241
23	go	2	4	1	1	240
24	go	7	7	1	1	281
25	go	6	7	1	1	231
26	go	4	7	1	1	246
27	go	8	7	1	1	252
28	go	6	7	1	1	344
29	go	8	13	1	1	318
30	go	2	10	1	1	328
31	go	9	4	1	1	318
32	go	8	10	1	1	297
33	go	9	16	1	1	300
34	go	5	7	1	1	330
35	go	2	10	1	1	313
36	go	4	16	1	1	313
37	nogo	3	7	1	0	237
38	go	5	13	1	1	232
39	go	5	4	1	1	186
40	go	6	16	1	1	65
41	nogo	3	4	1	0	133
42	go	2	10	1	1	181
43	go	7	4	1	1	202
44	go	5	10	1	1	225
45	go	7	16	1	1	270
46	go	8	16	1	1	270
47	go	2	10	1	1	291
48	go	7	10	1	1	264
49	go	4	13	1	1	286
50	go	1	7	1	1	314
51	nogo	3	7	1	0	771
52	go	7	13	0	0	n/a
53	go	4	7	1	1	274
54	go	6	13	1	1	407
55	go	4	7	1	1	404
56	go	8	10	1	1	379
57	go	8	7	1	1	449
58	go	4	4	1	1	398
59	go	1	16	1	1	308
60	go	9	4	1	1	459
61	go	9	16	1	1	414
62	go	4	13	1	1	313
63	go	8	10	1	1	359
64	go	2	10	1	1	385
65	go	2	10	1	1	273
66	go	8	7	1	1	269
67	go	7	13	1	1	250
68	nogo	3	4	1	0	271
69	go	4	13	1	1	241
70	go	7	7	1	1	258
71	go	1	16	1	1	282
72	go	4	13	1	1	313
73	nogo	3	7	1	0	275
74	go	5	16	1	1	341
75	go	9	16	1	1	566
76	go	8	10	1	1	340
77	go	4	10	1	1	199
78	go	7	4	1	1	220
79	go	4	16	1	1	196
80	go	1	4	1	1	217
81	go	2	4	1	1	215
82	go	6	13	1	1	357
83	go	6	13	1	1	351
84	go	4	16	1	1	258
85	go	6	10	1	1	278
86	go	6	16	1	1	256
87	go	9	10	1	1	396
88	go	9	7	1	1	315
89	go	7	7	1	1	330
90	go	6	7	1	1	293
91	go	4	16	1	1	262
92	go	1	4	1	1	326
93	go	7	13	1	1	436
94	nogo	3	16	1	0	318
95	nogo	3	7	0	1	n/a
96	go	9	7	1	1	354
97	go	8	10	1	1	296
98	go	2	13	1	1	250
99	go	7	13	1	1	168
100	go	6	4	1	1	210
101	go	6	7	1	1	137
102	go	1	13	1	1	162
103	go	9	13	1	1	204
104	go	9	13	1	1	255
105	nogo	3	7	1	0	203
106	go	1	4	1	1	336
107	go	4	16	1	1	311
108	go	1	16	1	1	311
109	go	1	4	1	1	330
110	go	2	13	1	1	330
111	nogo	3	4	0	1	n/a
112	go	6	13	1	1	280
113	go	8	10	1	1	323
114	go	5	10	1	1	231
115	go	9	16	1	1	272
116	nogo	3	10	1	0	276
117	go	9	16	1	1	332
118	go	5	16	1	1	331
119	go	5	16	1	1	401
120	go	4	7	1	1	274
121	go	2	13	1	1	331
122	go	6	16	1	1	313
123	go	8	13	1	1	323
124	nogo	3	7	0	1	n/a
125	go	8	7	1	1	371
126	go	4	10	1	1	344
127	go	4	16	1	1	313
128	go	2	16	1	1	272
129	go	5	4	1	1	470
130	go	2	4	1	1	269
131	go	1	4	1	1	131
132	go	1	7	1	1	243
