trial	response	correct_response	accuracy	reaction_time
1	5	7	0	1405
2	10	10	1	1285
3	9	9	1	404
4	7	7	1	782
5	6	6	1	670
6	9	9	1	863
7	15	14	0	1114
8	14	15	0	1725
9	10	10	1	840
10	n/a	8	0	n/a
11	17	16	0	2345
12	13	13	1	428
13	9	10	0	181
14	12	9	0	1168
15	8	8	1	308
16	13	13	1	455
17	9	9	1	143
18	7	7	1	623
19	n/a	8	0	n/a
20	15	9	0	1740
21	12	12	1	877
22	14	14	1	758
23	9	13	0	701
24	14	9	0	1712
25	7	7	1	52
26	8	8	1	107
27	10	10	1	731
28	12	12	1	332
29	7	11	0	154
30	n/a	8	0	n/a
