onset	duration	trial_type	rating	response_time	database	identifier
6.230	6.011	dp	1	1.942	iaps	5480
18.623	6.007	dp	1	1.238	iaps	8186
32.397	6.007	dp	1	1.500	iaps	5621
48.480	6.017	vn	2	1.090	iaps	9471
62.097	6.016	vn	2	2.741	iaps	9007
74.696	6.016	vn	3	1.586	iaps	6555
90.793	6.016	ip	3	1.491	iaps	7280
105.792	6.015	ip	4	1.358	iaps	4622
116.972	6.006	ip	3	2.065	iaps	5594
133.045	6.007	dn	1	1.986	iaps	2688
146.129	6.016	dn	1	1.031	iaps	9330
159.229	6.016	dn	1	1.905	iaps	6834
175.328	6.016	vt	1	1.154	iaps	7705
189.227	6.015	vt	1	1.488	iaps	7080
201.524	6.015	vt	1	1.206	iaps	7233
217.604	6.006	in	3	1.511	iaps	2700
230.269	6.008	in	2	2.731	iaps	9430
243.743	6.005	in	3	1.164	iaps	9342
259.827	6.016	vp	2	1.343	iaps	8161
274.227	6.017	vp	3	2.723	iaps	8501
286.025	6.015	vp	1	0.938	iaps	2224
302.122	6.004	dn	2	2.404	iaps	7380
314.903	6.007	dn	1	0.986	iaps	9592
328.276	6.008	dn	1	1.272	iaps	9341
344.347	6.033	vp	2	0.859	iaps	8193
357.960	6.016	vp	2	1.259	iaps	4180
370.559	6.016	vp	1	1.062	iaps	1510
386.657	6.015	in	3	1.617	iaps	9611
400.841	6.013	in	3	0.990	iaps	6831
412.842	6.010	in	3	1.287	iaps	2710
428.908	6.006	vt	1	1.418	iaps	2393
443.680	6.011	vt	2	2.626	iaps	2840
455.074	6.017	vt	1	0.726	iaps	7179
471.174	6.017	dp	1	1.326	iaps	7580
486.173	6.016	dp	1	1.264	iaps	5460
497.371	6.015	dp	2	2.177	iaps	1721
513.457	6.009	vn	2	1.307	iaps	9400
527.140	6.008	vn	2	1.577	iaps	3400
539.607	6.005	vn	2	1.583	iaps	6830
555.690	6.017	ip	4	0.976	iaps	1650
568.189	6.017	ip	4	1.609	iaps	7480
581.889	6.015	ip	4	1.135	iaps	8170
