trial	trial_type	stimulus	fontsize	response	accuracy	reactiontime
1	go	1	16	1	1	751
2	go	4	4	1	1	261
3	go	1	13	1	1	115
4	go	1	13	1	1	226
5	go	5	10	1	1	263
6	go	1	16	1	1	362
7	go	8	13	1	1	244
8	go	6	7	1	1	214
9	go	5	13	1	1	280
10	go	7	13	1	1	339
11	go	7	13	1	1	236
12	go	9	10	1	1	228
13	go	2	4	1	1	244
14	nogo	3	4	1	0	248
15	go	8	16	1	1	257
16	go	5	16	1	1	227
17	go	5	16	1	1	267
18	go	6	16	1	1	189
19	go	1	16	1	1	204
20	go	8	10	1	1	197
21	go	9	13	1	1	212
22	go	8	7	1	1	229
23	go	2	7	0	0	n/a
24	go	7	16	1	1	322
25	go	6	13	1	1	254
26	go	4	13	1	1	242
27	go	8	16	1	1	238
28	go	6	10	1	1	301
29	go	8	10	1	1	197
30	go	2	7	1	1	238
31	go	9	10	1	1	182
32	go	8	13	1	1	219
33	go	9	4	1	1	143
34	go	5	7	1	1	229
35	go	2	13	1	1	174
36	go	4	13	1	1	212
37	nogo	3	13	1	0	204
38	go	5	10	1	1	181
39	go	5	10	1	1	189
40	go	6	16	1	1	209
41	nogo	3	13	1	0	247
42	go	2	7	1	1	189
43	go	7	7	1	1	158
44	go	5	16	1	1	150
45	go	7	4	1	1	120
46	go	8	4	1	1	226
47	go	2	7	1	1	199
48	go	7	10	1	1	235
49	go	4	10	1	1	232
50	go	1	4	1	1	219
51	nogo	3	10	1	0	211
52	go	7	16	1	1	204
53	go	4	10	1	1	196
54	go	6	7	1	1	142
55	go	4	10	1	1	157
56	go	8	7	1	1	215
57	go	8	4	1	1	189
58	go	4	4	1	1	181
59	go	1	4	1	1	104
60	go	9	10	1	1	189
61	go	9	4	1	1	254
62	go	4	10	1	1	229
63	go	8	7	1	1	221
64	go	2	10	1	1	281
65	go	2	7	1	1	326
66	go	8	13	1	1	246
67	go	7	4	1	1	259
68	nogo	3	13	1	0	202
69	go	4	4	1	1	126
70	go	7	13	1	1	232
71	go	1	7	1	1	296
72	go	4	16	1	1	217
73	nogo	3	13	1	0	209
74	go	5	10	1	1	224
75	go	9	10	1	1	222
76	go	8	7	1	1	232
77	go	4	10	1	1	224
78	go	7	10	1	1	239
79	go	4	13	1	1	187
80	go	1	16	1	1	230
81	go	2	13	1	1	221
82	go	6	16	1	1	232
83	go	6	4	1	1	229
84	go	4	16	1	1	266
85	go	6	16	1	1	259
86	go	6	7	1	1	277
87	go	9	13	1	1	242
88	go	9	16	1	1	232
89	go	7	7	1	1	224
90	go	6	7	1	1	217
91	go	4	7	1	1	235
92	go	1	7	1	1	253
93	go	7	4	1	1	247
94	nogo	3	10	1	0	260
95	nogo	3	7	1	0	179
96	go	9	10	1	1	222
97	go	8	7	1	1	291
98	go	2	13	1	1	251
99	go	7	16	1	1	217
100	go	6	13	1	1	255
101	go	6	16	1	1	218
102	go	1	13	1	1	246
103	go	9	7	1	1	209
104	go	9	16	1	1	201
105	nogo	3	10	1	0	171
106	go	1	13	1	1	250
107	go	4	4	1	1	252
108	go	1	13	1	1	297
109	go	1	4	1	1	282
110	go	2	7	1	1	274
111	nogo	3	13	1	0	170
112	go	6	4	1	1	231
113	go	8	4	1	1	185
114	go	5	4	1	1	176
115	go	9	13	1	1	238
116	nogo	3	10	1	0	234
117	go	9	7	1	1	222
118	go	5	10	1	1	168
119	go	5	16	1	1	138
120	go	4	7	1	1	176
121	go	2	4	1	1	192
122	go	6	4	1	1	161
123	go	8	16	1	1	177
124	nogo	3	4	1	0	124
125	go	8	7	1	1	235
126	go	4	16	1	1	274
127	go	4	4	1	1	486
128	go	2	13	1	1	207
129	go	5	16	1	1	249
130	go	2	13	1	1	291
131	go	1	4	1	1	234
132	go	1	16	1	1	177
133	go	5	7	1	1	241
134	go	9	4	1	1	396
135	go	5	7	1	1	227
136	go	4	10	1	1	214
137	go	5	7	1	1	138
