trial	response	correct_response	accuracy	reaction_time
1	7	7	1	1209
2	14	10	0	1673
3	9	9	1	2136
4	14	7	0	2040
5	10	6	0	2623
6	9	9	1	2249
7	15	14	0	2149
8	n/a	15	0	n/a
9	11	10	0	1197
10	8	8	1	1931
11	17	16	0	2800
12	13	13	1	2417
13	20	10	0	2560
14	16	9	0	1825
15	n/a	8	0	n/a
16	13	13	1	1298
17	14	9	0	1847
18	1	7	0	2084
19	8	8	1	1038
20	n/a	9	0	n/a
21	13	12	0	1333
22	n/a	14	0	n/a
23	13	13	1	1676
24	14	9	0	2247
25	1	7	0	2925
26	15	8	0	1497
27	13	10	0	2848
28	17	12	0	1375
29	12	11	0	1778
30	n/a	8	0	n/a
