trial	trial_type	stimulus	fontsize	response	accuracy	reactiontime
1	go	1	4	1	1	759
2	go	4	16	1	1	432
3	go	1	13	1	1	426
4	go	1	4	1	1	574
5	go	5	16	1	1	506
6	go	1	7	1	1	380
7	go	8	4	1	1	327
8	go	6	13	1	1	364
9	go	5	10	1	1	369
10	go	7	4	1	1	331
11	go	7	13	1	1	404
12	go	9	7	1	1	437
13	go	2	16	1	1	625
14	nogo	3	4	1	0	568
15	go	8	4	1	1	588
16	go	5	16	1	1	422
17	go	5	16	1	1	572
18	go	6	7	1	1	537
19	go	1	7	1	1	556
20	go	8	10	1	1	512
21	go	9	13	1	1	435
22	go	8	4	1	1	395
23	go	2	16	1	1	596
24	go	7	13	1	1	499
25	go	6	10	1	1	465
26	go	4	10	1	1	525
27	go	8	16	1	1	494
28	go	6	16	1	1	441
29	go	8	7	1	1	443
30	go	2	13	1	1	460
31	go	9	10	1	1	440
32	go	8	10	1	1	455
33	go	9	16	1	1	401
34	go	5	10	1	1	420
35	go	2	4	1	1	434
36	go	4	4	1	1	401
37	nogo	3	4	0	1	n/a
38	go	5	16	1	1	403
39	go	5	16	1	1	672
40	go	6	10	1	1	508
41	nogo	3	10	0	1	n/a
42	go	2	16	1	1	613
43	go	7	10	1	1	501
44	go	5	10	1	1	339
45	go	7	13	1	1	338
46	go	8	10	1	1	389
47	go	2	16	1	1	715
48	go	7	13	1	1	433
49	go	4	16	1	1	571
50	go	1	10	1	1	498
51	nogo	3	10	0	1	n/a
52	go	7	4	1	1	481
53	go	4	7	1	1	428
54	go	6	7	1	1	433
55	go	4	13	1	1	403
56	go	8	7	1	1	441
57	go	8	16	1	1	401
58	go	4	16	1	1	459
59	go	1	10	1	1	499
60	go	9	10	1	1	445
61	go	9	16	1	1	368
62	go	4	7	1	1	430
63	go	8	4	1	1	433
64	go	2	13	1	1	494
65	go	2	7	1	1	509
66	go	8	13	1	1	449
67	go	7	4	1	1	538
68	nogo	3	7	0	1	n/a
69	go	4	16	1	1	647
70	go	7	10	1	1	533
71	go	1	13	1	1	372
72	go	4	4	1	1	501
73	nogo	3	7	0	1	n/a
74	go	5	4	1	1	424
75	go	9	10	1	1	476
76	go	8	7	1	1	589
77	go	4	13	1	1	543
78	go	7	16	1	1	426
79	go	4	13	1	1	432
80	go	1	10	1	1	519
81	go	2	13	1	1	476
82	go	6	4	1	1	533
83	go	6	16	1	1	447
84	go	4	7	1	1	558
85	go	6	13	1	1	555
86	go	6	13	1	1	424
87	go	9	13	1	1	394
88	go	9	13	1	1	408
89	go	7	7	1	1	459
90	go	6	16	1	1	534
91	go	4	13	1	1	410
92	go	1	16	1	1	355
93	go	7	4	1	1	416
94	nogo	3	4	0	1	n/a
95	nogo	3	7	1	0	324
96	go	9	4	1	1	545
97	go	8	13	1	1	443
98	go	2	10	1	1	397
99	go	7	7	1	1	354
100	go	6	10	1	1	380
101	go	6	7	1	1	306
102	go	1	13	1	1	434
103	go	9	10	1	1	387
104	go	9	13	1	1	334
105	nogo	3	7	0	1	n/a
106	go	1	4	1	1	584
107	go	4	16	1	1	466
108	go	1	10	1	1	475
109	go	1	7	1	1	421
110	go	2	16	1	1	401
111	nogo	3	16	0	1	n/a
112	go	6	10	1	1	552
113	go	8	16	1	1	542
114	go	5	13	1	1	457
115	go	9	13	1	1	552
116	nogo	3	13	0	1	n/a
117	go	9	16	1	1	429
118	go	5	4	1	1	562
119	go	5	13	1	1	391
120	go	4	4	1	1	357
121	go	2	7	1	1	387
122	go	6	7	1	1	380
123	go	8	16	1	1	407
124	nogo	3	13	0	1	n/a
125	go	8	4	1	1	473
126	go	4	10	1	1	424
127	go	4	7	1	1	371
128	go	2	4	1	1	527
129	go	5	13	1	1	412
130	go	2	16	1	1	495
131	go	1	13	1	1	396
132	go	1	13	1	1	447
133	go	5	10	1	1	361
134	go	9	13	1	1	322
135	go	5	13	1	1	333
136	go	4	13	1	1	371
137	go	5	4	1	1	363
138	nogo	3	4	0	1	n/a
139	go	4	16	1	1	271
140	go	2	4	1	1	522
141	go	5	10	1	1	511
142	go	6	4	1	1	434
143	go	9	10	1	1	380
144	go	4	16	1	1	373
145	go	6	7	1	1	365
146	nogo	3	10	0	1	n/a
147	go	1	4	1	1	328
148	go	5	7	1	1	418
149	go	5	10	1	1	330
150	go	4	7	1	1	470
151	go	6	4	1	1	506
152	go	4	16	1	1	486
153	go	5	7	1	1	454
154	go	5	4	1	1	480
155	go	6	16	1	1	618
156	go	2	16	1	1	587
