trial	response	correct_response	accuracy	reaction_time
1	8	8	1	654
2	14	14	1	1080
3	16	16	1	989
4	11	11	1	650
5	6	6	1	349
6	10	10	1	1079
7	13	13	1	1358
8	7	7	1	360
9	3	3	1	291
10	7	7	1	422
11	10	10	1	915
12	11	11	1	806
13	10	10	1	923
14	8	8	1	418
15	14	14	1	1003
16	15	15	1	1085
17	10	10	1	902
18	9	9	1	427
19	8	8	1	396
20	12	12	1	678
21	13	13	1	900
22	5	5	1	310
23	9	9	1	310
24	11	11	1	670
25	4	4	1	289
26	7	7	1	401
27	14	14	1	1054
28	13	13	1	1025
29	9	9	1	709
30	6	6	1	318
