onset	duration	offer	proposer	face_onset	offer_onset	decision_onset	response_time	feedback_onset	response
3.054479555	14.07559059	3	PRP1	3.054479555	5.113618155	10.12976068	0.772729263	10.90248994	-1
18.29051564	14.02976624	4	PRP1	18.29051564	20.303786	25.31997625	0.687772024	26.00774827	-1
33.44252858	14.02808683	4	PRP2	33.44252858	35.45349435	40.47029083	0.649732881	41.12002371	-1
48.59085347	14.02990837	1	PRP3	48.59085347	50.60361381	55.62046428	0.422986625	56.04345091	-1
63.74037169	14.02901555	8	PRP4	63.74037169	65.75277314	70.76907887	0.654133527	71.42321239	1
78.88791637	14.0284858	10	PRP2	78.88791637	80.89936293	85.91610965	0.974985304	86.89109496	1
96.02328133	14.01234409	8	PRP5	96.02328133	98.02888164	103.0351056	1.825107015	104.8602126	-1
111.1456295	14.01436004	8	PRP6	111.1456295	113.1523693	118.1596742	0.609585778	118.76926	1
128.2728699	14.02956505	11	computer	128.2728699	130.2855599	135.3021282	0.59565787	135.8977861	1
146.4063042	14.0288182	2	PRP3	146.4063042	148.4187046	153.4348718	0.47708207	153.9119539	-1
163.5428939	14.02504604	1	computer	163.5428939	165.5507732	170.5678041	0.834218727	171.4020228	-1
181.6723089	14.02592049	3	PRP2	181.6723089	183.6804911	188.6979396	0.683204735	189.3811444	-1
196.8068716	14.02173401	3	computer	196.8068716	198.8173025	203.8282469	0.717596867	204.5458438	-1
212.9194439	14.01512175	2	computer	212.9194439	214.9246123	219.9343729	0.550102222	220.4844752	-1
229.0372411	14.03021535	4	PRP3	229.0372411	231.0510013	236.0671973	0.539318869	236.6065161	-1
244.1706862	14.03087189	9	PRP4	244.1706862	246.1833008	251.2009986	0.610597822	251.8115964	1
261.3076704	14.02581406	11	PRP6	261.3076704	263.3167792	268.333226	0.532106243	268.8653323	1
276.4406464	14.023285	9	computer	276.4406464	278.4474807	283.4636461	0.547329937	284.010976	1
294.5669498	14.02699093	8	computer	294.5669498	296.5773578	301.5937208	0.501184149	302.0949049	-1
310.6851977	14.01433515	11	PRP4	310.6851977	312.6907395	317.6992331	0.515488262	318.2147213	1
325.8041844	14.02884705	2	PRP1	325.8041844	327.8161697	332.8328143	0.583114684	333.415929	-1
340.9412403	14.02558554	10	PRP5	340.9412403	342.9492229	347.9665068	0.678728941	348.6452357	1
357.0788395	14.036702	8	computer	357.0788395	359.0989641	364.115259	1.25403955	365.3692986	-1
372.2230001	14.02421985	1	computer	372.2230001	374.2296908	379.2469557	0.705262885	379.9522186	-1
389.3736171	14.01995591	11	computer	389.3736171	391.3814174	396.3933313	1.018693282	397.4120246	1
405.4834578	14.01581074	1	PRP1	405.4834578	407.4902389	412.498939	0.778119917	413.2770589	-1
420.5903142	14.02449719	3	PRP3	420.5903142	422.5984091	427.6145145	1.597631566	429.212146	-1
436.7189362	14.0290915	4	computer	436.7189362	438.7333765	443.7477249	0.786274585	444.5339994	-1
454.8537326	14.02749991	10	PRP4	454.8537326	456.8640059	461.8811321	0.930001622	462.8111337	1
471.989347	14.02256089	9	PRP5	471.989347	473.9945471	479.0116214	0.819129864	479.8307513	1
489.1174027	14.02526449	1	PRP6	489.1174027	491.1249481	496.1423919	0.678674254	496.8210662	-1
504.3547945	14.01775983	11	PRP5	504.3547945	506.3638835	511.3722784	0.88193949	512.2542179	1
519.4682438	14.01868569	4	PRP6	519.4682438	521.4795657	526.4866739	0.571610016	527.058284	-1
534.5836077	14.02974844	4	computer	534.5836077	536.5961068	541.6131363	0.712272236	542.3254086	-1
550.7167839	14.02995969	10	computer	550.7167839	552.7292867	557.7464582	0.573167977	558.3196262	1
566.8488886	14.02969469	9	PRP2	566.8488886	568.8611712	573.8783461	1.485704852	575.3640509	1
