onset	duration	trial_type	rating	response_time	database	identifier
6.263	6.016	vp	2	2.465	iaps	4640
21.162	6.016	vp	4	1.660	iaps	4607
32.460	6.016	vp	1	0.984	iaps	7430
48.558	6.004	dn	2	1.668	iaps	2490
61.655	6.008	dn	3	2.220	iaps	9042
74.736	6.009	dn	2	2.652	iaps	6243
90.800	6.012	ip	4	1.246	iaps	8180
103.495	6.017	ip	4	1.687	iaps	2208
116.994	6.017	ip	4	1.186	iaps	5820
133.093	6.015	vn	1	2.834	iaps	6250
145.877	6.012	vn	3	1.492	iaps	9530
159.260	6.010	vn	3	2.368	iaps	4621
175.326	6.008	dp	4	3.498	iaps	4680
189.299	6.011	dp	3	2.269	iaps	8210
201.494	6.016	dp	1	1.462	iaps	7260
217.593	6.016	in	3	2.388	iaps	6821
231.092	6.014	in	1	2.915	iaps	9331
243.789	6.015	in	3	1.450	iaps	9320
259.886	6.006	vt	1	1.537	iaps	7950
272.950	6.009	vt	1	2.504	iaps	7050
286.025	6.006	vt	2	1.218	iaps	7090
302.109	6.016	dn	2	2.937	iaps	9621
316.708	6.016	dn	3	2.431	iaps	9620
328.307	6.016	dn	2	1.597	iaps	9830
344.405	6.005	ip	3	0.989	iaps	2345
358.274	6.010	ip	3	2.299	iaps	2310
370.550	6.008	ip	4	2.206	iaps	8341
386.614	6.010	vn	3	2.189	iaps	6550
400.407	6.016	vn	3	2.039	iaps	2053
412.827	6.013	vn	2	1.467	iaps	9432
428.922	6.016	dp	2	3.270	iaps	1463
443.820	6.015	dp	2	2.733	iaps	8090
455.089	6.011	dp	2	2.855	iaps	1722
471.165	6.008	vt	2	1.499	iaps	2214
484.039	6.005	vt	1	1.933	iaps	7035
497.322	6.017	vt	1	2.706	iaps	7020
513.423	6.016	in	4	2.158	iaps	9495
527.822	6.015	in	3	2.459	iaps	6510
539.619	6.016	in	3	2.626	iaps	9001
555.716	6.005	vp	3	1.905	iaps	8370
570.080	6.008	vp	3	1.673	iaps	8496
581.861	6.010	vp	1	1.337	iaps	5000
