trial	response	correct_response	accuracy	reaction_time
1	8	8	1	256
2	12	14	0	1827
3	16	16	1	1869
4	11	11	1	852
5	9	6	0	488
6	10	10	1	1356
7	13	13	1	818
8	7	7	1	453
9	6	3	0	280
10	7	7	1	302
11	10	10	1	561
12	13	11	0	1448
13	10	10	1	695
14	8	8	1	232
15	14	14	1	1157
16	15	15	1	1453
17	10	10	1	856
18	9	9	1	1
19	8	8	1	25
20	12	12	1	394
21	13	13	1	1557
22	5	5	1	82
23	13	9	0	1062
24	11	11	1	522
25	n/a	4	0	n/a
26	89	7	0	1548
27	16	14	0	853
28	13	13	1	535
29	9	9	1	207
30	6	6	1	90
