trial	response	correct_response	accuracy	reaction_time
1	k	k	1	1429
2	j	j	1	791
3	l	j	0	1254
4	j	j	1	874
5	l	j	0	1218
6	l	l	1	1024
7	j	j	1	1116
8	l	l	1	1816
9	k	k	1	821
10	j	j	1	838
11	k	k	1	775
12	k	k	1	861
13	k	k	1	749
14	j	j	1	748
15	l	j	0	1204
16	j	j	1	646
17	l	l	1	949
18	j	j	1	820
19	j	j	1	926
20	k	k	1	498
