onset	duration	trial_type	rating	response_time	database	identifier
6.247	6.017	vp	n/a	n/a	iaps	4652
21.148	6.016	vp	3	1.578	iaps	4623
32.447	6.015	vp	3	1.482	iaps	5811
48.544	6.015	dn	2	1.757	iaps	2715
61.658	6.005	dn	2	1.440	iaps	6370
74.739	6.007	dn	2	1.328	iaps	3300
90.812	6.005	ip	3	0.752	iaps	7400
103.497	6.016	ip	3	0.997	iaps	2341
116.995	6.017	ip	3	1.420	iaps	5450
133.095	6.015	vn	2	2.439	iaps	6210
145.893	6.015	vn	2	1.248	iaps	9470
159.291	6.015	vn	4	2.075	iaps	2753
175.362	6.008	dp	2	0.665	iaps	4659
189.328	6.005	dp	2	0.971	iaps	8080
201.512	6.016	dp	3	3.111	iaps	5660
217.611	6.017	in	3	3.574	iaps	6311
231.111	6.015	in	2	1.835	iaps	9265
243.809	6.015	in	2	2.452	iaps	7361
259.893	6.011	vt	3	2.977	iaps	7175
272.960	6.009	vt	3	2.042	iaps	6150
286.027	6.006	vt	3	2.596	iaps	7004
302.110	6.016	dn	2	0.710	iaps	9520
316.710	6.016	dn	2	0.882	iaps	9500
328.310	6.016	dn	2	1.035	iaps	9600
344.407	6.024	ip	4	0.891	iaps	4614
358.293	6.011	ip	4	0.702	iaps	2346
370.569	6.007	ip	4	0.814	iaps	8185
386.625	6.006	vn	3	2.702	iaps	6260
400.409	6.004	vn	2	0.984	iaps	2692
412.828	6.014	vn	2	2.199	iaps	9415
428.925	6.016	dp	3	0.710	iaps	1620
443.822	6.015	dp	3	0.732	iaps	7270
455.120	6.004	dp	3	1.253	iaps	2331
471.191	6.008	vt	3	1.986	iaps	2381
484.065	6.009	vt	2	0.876	iaps	2890
497.329	6.012	vt	3	1.167	iaps	2493
513.424	6.017	in	3	0.838	iaps	9452
527.824	6.015	in	3	1.068	iaps	6244
539.622	6.015	in	3	2.156	iaps	6315
555.719	6.004	vp	4	0.772	iaps	8350
570.090	6.009	vp	4	0.839	iaps	8400
581.881	6.008	vp	3	1.549	iaps	5260
