onset	duration	offer	proposer	face_onset	offer_onset	decision_onset	response_time	feedback_onset	response
1.056113656	14.13097657	10	PRP1	1.056113656	3.167145791	8.18675379	0.751476802	8.938230592	1
16.34727283	14.0354051	8	PRP2	16.34727283	18.36588975	23.38237508	0.624932755	24.00730784	1
34.50166045	14.02778449	3	PRP3	34.50166045	36.5123088	41.52913291	1.04435966	42.57349257	-1
49.65112372	14.02591812	2	PRP4	49.65112372	51.65994144	56.67673995	0.543643738	57.22038368	-1
64.80233385	14.03073444	9	PRP1	64.80233385	66.81617487	71.83273515	0.643463711	72.47619886	1
80.96901599	14.029814	10	PRP2	80.96901599	82.98164177	87.99849708	0.667818717	88.6663158	1
96.11797275	14.0309703	2	PRP5	96.11797275	98.13129209	103.1486378	0.723559858	103.8721977	-1
111.2679668	14.03090766	11	computer	111.2679668	113.2809279	118.2984647	0.62110974	118.9195744	1
128.4167268	14.02825264	1	PRP4	128.4167268	130.4284924	135.4446796	0.582919822	136.0275995	-1
143.5628024	14.02925171	9	computer	143.5628024	145.5767575	150.5918133	0.525611761	151.1174251	1
158.700171	14.02045576	8	computer	158.700171	160.7068283	165.7204196	0.501434738	166.2218543	1
174.8496494	14.02034346	11	computer	174.8496494	176.8633882	181.8697043	0.730830402	182.6005347	1
192.982993	14.0315505	10	computer	192.982993	194.9969355	200.0141975	0.630948676	200.6451462	1
209.1332059	14.03097305	4	computer	209.1332059	211.1470518	216.1637021	0.929866627	217.0935688	-1
226.2839569	14.02703732	1	PRP3	226.2839569	228.2943527	233.3107396	0.769047129	234.0797867	-1
243.4321657	14.02596988	4	computer	243.4321657	245.441603	250.4578431	0.373091683	250.8309348	-1
258.5671645	14.02150668	3	computer	258.5671645	260.5786402	265.588372	0.39125146	265.9796235	-1
274.699748	14.01893563	8	PRP1	274.699748	276.71246	281.7183857	0.497724437	282.2161101	1
290.8345193	14.02815283	4	PRP3	290.8345193	292.8460181	297.8623483	0.616462036	298.4788104	-1
306.9815569	14.03134133	4	PRP5	306.9815569	308.9950995	314.0126009	0.332428807	314.3450297	-1
322.1338776	14.02688851	11	PRP2	322.1338776	324.1442229	329.1604919	0.561278365	329.7217703	1
337.2808255	14.02781314	9	PRP2	337.2808255	339.2910374	344.3083998	0.507578927	344.8159787	1
353.4158642	14.01196478	10	PRP6	353.4158642	355.4212452	360.4275575	0.615344799	361.0429023	1
368.5458737	14.01573667	1	computer	368.5458737	370.5526475	375.5613886	0.424766717	375.9861553	-1
384.6797649	14.03219192	11	PRP6	384.6797649	386.6943409	391.7116695	0.824365268	392.5360348	1
402.8307146	14.03060915	3	PRP4	402.8307146	404.8445339	409.8610378	0.521559503	410.3825973	-1
419.9817014	14.02802155	11	PRP5	419.9817014	421.9929967	427.0093883	0.554903645	427.5642919	1
437.1286911	14.03135598	3	computer	437.1286911	439.1400914	444.159887	0.374052399	444.5339394	-1
452.278512	14.01436627	10	computer	452.278512	454.286503	459.2925705	1.000856821	460.2934273	1
469.4039318	14.01326167	3	PRP6	469.4039318	471.4092627	476.4168383	0.433698095	476.8505364	-1
485.5299759	14.03037021	2	computer	485.5299759	487.5425468	492.5600515	0.433114259	492.9931658	-1
501.6831618	14.02641082	8	PRP5	501.6831618	503.6919832	508.7092875	0.627581269	509.3368688	1
518.819065	14.0230369	2	PRP3	518.819065	520.8243887	525.8418326	0.583628748	526.4254613	-1
535.9657346	14.02342105	11	PRP1	535.9657346	537.972516	542.9889057	0.455043972	543.4439497	1
551.1128408	14.02315374	4	PRP6	551.1128408	553.1194546	558.1357701	0.522854168	558.6586242	-1
567.2506688	14.01548738	4	PRP4	567.2506688	569.258468	574.2659348	0.42340977	574.6893446	-1
