participant_id	total_cnr	graycsflh	graycsfrh	graywhitelh	graywhiterh	left_euler	right_euler	left_holes	right_holes	left_total_defect_index	right_total_defect_index	graycsf_flag	graywhite_flag	euler_flag	total_outliers	flagged
sub-5001	1.064	0.504	0.505	1.662	1.584	-18	-22	10	12	20	24	0	0	0	0	0
sub-5002	0.834	0.459	0.475	1.231	1.17	-64	-52	33	27	66	54	0	0	0	0	0
sub-5003	0.924	0.506	0.473	1.413	1.305	-30	-40	16	21	32	42	0	0	0	0	0
sub-5004	0.959	0.498	0.487	1.452	1.4	-40	-42	21	22	42	44	0	0	0	0	0
sub-5005	0.918	0.499	0.469	1.438	1.265	-60	-56	31	29	62	58	0	0	0	0	0
sub-5006	0.941	0.603	0.548	1.393	1.218	-38	-22	20	12	40	24	0	0	0	0	0
sub-5007	0.958	0.625	0.573	1.319	1.313	-52	-44	27	23	54	46	0	0	0	0	0
sub-5009	1.021	0.68	0.626	1.47	1.31	-86	-96	44	49	88	98	0	0	0	0	0
sub-5011	1.038	0.593	0.609	1.494	1.456	-40	-38	21	20	42	40	0	0	0	0	0
sub-5013	0.995	0.607	0.597	1.364	1.413	-50	-42	26	22	52	44	0	0	0	0	0
sub-5014	1.034	0.591	0.592	1.571	1.38	-38	-28	20	15	40	30	0	0	0	0	0
sub-5016	0.923	0.579	0.488	1.452	1.17	-34	-30	18	16	36	32	0	0	0	0	0
sub-5017	0.982	0.603	0.569	1.449	1.305	-30	-28	16	15	32	30	0	0	0	0	0
sub-5018	1.005	0.586	0.565	1.489	1.378	-34	-44	18	23	36	46	0	0	0	0	0
sub-5019	1	0.552	0.503	1.562	1.384	-22	-38	12	20	24	40	0	0	0	0	0
sub-5020	0.943	0.5	0.498	1.43	1.345	-28	-30	15	16	30	32	0	0	0	0	0
sub-5021	0.886	0.536	0.515	1.362	1.133	-30	-64	16	33	32	66	0	0	0	0	0
sub-5022	1.035	0.534	0.568	1.516	1.521	-60	-54	31	28	62	56	0	0	0	0	0
sub-5023	1.044	0.543	0.536	1.572	1.525	-44	-52	23	27	46	54	0	0	0	0	0
sub-5024	1.108	0.676	0.686	1.586	1.486	-26	-22	14	12	28	24	0	0	0	0	0
sub-5026	1.191	0.695	0.681	1.723	1.665	-46	-24	24	13	48	26	0	0	0	0	0
sub-5027	0.941	0.56	0.516	1.398	1.291	-36	-44	19	23	38	46	0	0	0	0	0
sub-5028	0.934	0.571	0.534	1.379	1.252	-68	-42	35	22	70	44	0	0	0	0	0
sub-5029	1.004	0.535	0.532	1.504	1.445	-50	-42	26	22	52	44	0	0	0	0	0
sub-5032	0.999	0.673	0.593	1.478	1.253	-72	-50	37	26	74	52	0	0	0	0	0
sub-5033	1.076	0.733	0.674	1.489	1.409	-68	-58	35	30	70	60	0	0	0	0	0
sub-5034	0.978	0.529	0.493	1.509	1.382	-22	-30	12	16	24	32	0	0	0	0	0
sub-5035	0.939	0.531	0.494	1.427	1.302	-54	-64	28	33	56	66	0	0	0	0	0
sub-5037	1.106	0.701	0.572	1.619	1.529	-30	-22	16	12	32	24	0	0	0	0	0
sub-5038	0.987	0.605	0.577	1.477	1.287	-26	-32	14	17	28	34	0	0	0	0	0
sub-5039	1.001	0.563	0.57	1.462	1.406	-44	-46	23	24	46	48	0	0	0	0	0
sub-5040	0.928	0.47	0.517	1.364	1.359	-56	-66	29	34	58	68	0	0	0	0	0
sub-5041	1	0.548	0.536	1.447	1.467	-68	-44	35	23	70	46	0	0	0	0	0
sub-5042	0.91	0.562	0.514	1.319	1.245	-94	-70	48	36	96	72	0	0	0	0	0
sub-5043	1.052	0.667	0.61	1.502	1.431	-62	-68	32	35	64	70	0	0	0	0	0
sub-5044	1.007	0.642	0.611	1.448	1.328	-62	-52	32	27	64	54	0	0	0	0	0
sub-5045	1.053	0.753	0.697	1.385	1.377	-30	-40	16	21	32	42	0	0	0	0	0
sub-5046	1.064	0.623	0.601	1.556	1.476	-32	-40	17	21	34	42	0	0	0	0	0
sub-5047	0.897	0.545	0.613	1.274	1.154	-40	-38	21	20	42	40	0	0	0	0	0
sub-5049	0.987	0.543	0.527	1.49	1.391	-44	-50	23	26	46	52	0	0	0	0	0
sub-5050	0.804	0.526	0.474	1.171	1.045	-108	-96	55	49	110	98	0	1	0	1	1
sub-5051	0.838	0.558	0.514	1.159	1.12	-80	-66	41	34	82	68	0	1	0	1	1
sub-5052	0.941	0.628	0.593	1.297	1.244	-50	-90	26	46	52	92	0	0	0	0	0
sub-5053	1.012	0.771	0.792	1.28	1.205	-80	-58	41	30	82	60	0	0	0	0	0
sub-5054	0.947	0.519	0.504	1.423	1.34	-26	-34	14	18	28	36	0	0	0	0	0
sub-5056	0.892	0.531	0.555	1.317	1.165	-68	-70	35	36	70	72	0	0	0	0	0
sub-5058	0.992	0.706	0.683	1.319	1.262	-60	-42	31	22	62	44	0	0	0	0	0
sub-5059	0.882	0.388	0.408	1.364	1.367	-86	-94	44	48	88	96	1	0	0	1	1
sub-5060	1.091	0.733	0.675	1.545	1.41	-34	-40	18	21	36	42	0	0	0	0	0
sub-5061	0.94	0.573	0.508	1.432	1.247	-20	-20	11	11	22	22	0	0	0	0	0
sub-5062	0.86	0.567	0.488	1.332	1.052	-40	-36	21	19	42	38	0	0	0	0	0
sub-5063	0.948	0.457	0.431	1.56	1.344	-46	-50	24	26	48	52	0	0	0	0	0
sub-6002	1.06	0.58	0.55	1.626	1.482	-66	-54	34	28	68	56	0	0	0	0	0
sub-6003	0.936	0.615	0.589	1.372	1.166	-70	-56	36	29	72	58	0	0	0	0	0
sub-6004	1.021	0.673	0.588	1.483	1.339	-36	-22	19	12	38	24	0	0	0	0	0
sub-6005	1.025	0.651	0.645	1.392	1.41	-64	-78	33	40	66	80	0	0	0	0	0
sub-6006	1.041	0.62	0.598	1.516	1.431	-30	-22	16	12	32	24	0	0	0	0	0
sub-6007	0.98	0.534	0.543	1.464	1.377	-36	-40	19	21	38	42	0	0	0	0	0
sub-6008	1.079	0.73	0.659	1.495	1.433	-36	-20	19	11	38	22	0	0	0	0	0
sub-6009	1.072	0.594	0.642	1.526	1.525	-52	-76	27	39	54	78	0	0	0	0	0
sub-6011	0.927	0.52	0.484	1.435	1.268	-24	-22	13	12	26	24	0	0	0	0	0
sub-6012	0.905	0.524	0.483	1.315	1.299	-64	-70	33	36	66	72	0	0	0	0	0
sub-6013	0.905	0.585	0.553	1.274	1.21	-64	-50	33	26	66	52	0	0	0	0	0
sub-6014	0.984	0.656	0.678	1.357	1.245	-50	-64	26	33	52	66	0	0	0	0	0
sub-6015	1.123	0.697	0.646	1.628	1.522	-22	-30	12	16	24	32	0	0	0	0	0
sub-6016	1.116	0.759	0.846	1.436	1.421	-40	-58	21	30	42	60	0	0	0	0	0
sub-6017	1.029	0.534	0.581	1.556	1.447	-34	-20	18	11	36	22	0	0	0	0	0
sub-6018	1.131	0.691	0.691	1.575	1.566	-20	-22	11	12	22	24	0	0	0	0	0
sub-6019	0.96	0.516	0.572	1.351	1.402	-36	-36	19	19	38	38	0	0	0	0	0
sub-6020	1.002	0.531	0.533	1.521	1.425	-34	-32	18	17	36	34	0	0	0	0	0
sub-6021	0.673	0.399	0.381	0.987	0.925	-374	-384	188	193	376	386	1	1	1	3	1
sub-6022	1.063	0.66	0.637	1.513	1.442	-60	-32	31	17	62	34	0	0	0	0	0
sub-6023	0.992	0.621	0.561	1.46	1.326	-32	-26	17	14	34	28	0	0	0	0	0
sub-6024	0.922	0.5	0.512	1.381	1.294	-42	-44	22	23	44	46	0	0	0	0	0
sub-6025	1.147	0.583	0.639	1.742	1.625	-40	-24	21	13	42	26	0	0	0	0	0
sub-6027	0.935	0.476	0.509	1.446	1.308	-42	-32	22	17	44	34	0	0	0	0	0
sub-6028	0.976	0.49	0.457	1.541	1.416	-28	-44	15	23	30	46	0	0	0	0	0
sub-6029	0.952	0.506	0.487	1.516	1.3	-46	-46	24	24	48	48	0	0	0	0	0
sub-6030	0.872	0.567	0.592	1.207	1.122	-46	-62	24	32	48	64	0	0	0	0	0
sub-6031	1.005	0.624	0.562	1.476	1.359	-46	-36	24	19	48	38	0	0	0	0	0
sub-6032	1.012	0.618	0.562	1.482	1.388	-52	-38	27	20	54	40	0	0	0	0	0
sub-6033	1.053	0.654	0.626	1.527	1.406	-40	-36	21	19	42	38	0	0	0	0	0
sub-6034	1.182	0.744	0.837	1.606	1.542	-36	-42	19	22	38	44	0	0	0	0	0
sub-6035	0.953	0.632	0.554	1.354	1.271	-34	-26	18	14	36	28	0	0	0	0	0
sub-6037	1.064	0.624	0.586	1.555	1.489	-62	-48	32	25	64	50	0	0	0	0	0
sub-6038	0.901	0.659	0.604	1.206	1.133	-48	-56	25	29	50	58	0	0	0	0	0
sub-6039	1.008	0.588	0.563	1.482	1.399	-82	-68	42	35	84	70	0	0	0	0	0
sub-6040	0.869	0.502	0.458	1.315	1.201	-32	-42	17	22	34	44	0	0	0	0	0
sub-6041	1.012	0.595	0.611	1.339	1.503	-46	-44	24	23	48	46	0	0	0	0	0
sub-6042	0.968	0.502	0.501	1.451	1.416	-42	-40	22	21	44	42	0	0	0	0	0
sub-6043	0.979	0.571	0.514	1.501	1.329	-64	-50	33	26	66	52	0	0	0	0	0
sub-6044	1.019	0.678	0.633	1.414	1.35	-56	-50	29	26	58	52	0	0	0	0	0
sub-6045	0.844	0.526	0.507	1.247	1.095	-50	-62	26	32	52	64	0	0	0	0	0
sub-6046	1.068	0.625	0.617	1.476	1.555	-56	-54	29	28	58	56	0	0	0	0	0
sub-6048	1.013	0.637	0.628	1.397	1.388	-36	-24	19	13	38	26	0	0	0	0	0
sub-6049	0.988	0.626	0.555	1.474	1.295	-42	-26	22	14	44	28	0	0	0	0	0
