trial	trial_type	stimulus	fontsize	response	accuracy	reactiontime
1	go	1	16	1	1	602
2	go	4	16	1	1	451
3	go	1	16	1	1	414
4	go	1	13	1	1	338
5	go	5	7	1	1	393
6	go	1	13	1	1	386
7	go	8	4	1	1	446
8	go	6	16	1	1	374
9	go	5	7	1	1	363
10	go	7	13	1	1	378
11	go	7	7	1	1	393
12	go	9	7	1	1	363
13	go	2	4	1	1	525
14	nogo	3	13	0	1	n/a
15	go	8	4	1	1	501
16	go	5	16	1	1	373
17	go	5	4	1	1	388
18	go	6	10	1	1	358
19	go	1	16	1	1	419
20	go	8	10	1	1	411
21	go	9	16	1	1	403
22	go	8	10	1	1	363
23	go	2	13	1	1	434
24	go	7	13	1	1	426
25	go	6	7	1	1	435
26	go	4	13	1	1	380
27	go	8	13	1	1	418
28	go	6	7	1	1	425
29	go	8	13	1	1	355
30	go	2	16	1	1	479
31	go	9	7	1	1	492
32	go	8	13	1	1	346
33	go	9	7	1	1	417
34	go	5	4	1	1	453
35	go	2	4	1	1	491
36	go	4	4	1	1	415
37	nogo	3	7	1	0	351
38	go	5	13	1	1	366
39	go	5	10	1	1	502
40	go	6	13	1	1	397
41	nogo	3	13	0	1	n/a
42	go	2	10	1	1	446
43	go	7	13	1	1	482
44	go	5	10	1	1	393
45	go	7	7	1	1	410
46	go	8	16	1	1	397
47	go	2	4	1	1	525
48	go	7	13	1	1	388
49	go	4	7	1	1	414
50	go	1	16	1	1	383
51	nogo	3	4	0	1	n/a
52	go	7	13	1	1	386
53	go	4	13	1	1	337
54	go	6	10	1	1	382
55	go	4	13	1	1	318
56	go	8	13	1	1	424
57	go	8	16	1	1	325
58	go	4	7	1	1	385
59	go	1	13	1	1	378
60	go	9	10	1	1	439
61	go	9	16	1	1	358
62	go	4	13	1	1	418
63	go	8	4	1	1	389
64	go	2	4	1	1	471
65	go	2	4	1	1	430
66	go	8	16	1	1	371
67	go	7	10	1	1	335
68	nogo	3	13	1	0	355
69	go	4	16	1	1	348
70	go	7	7	1	1	354
71	go	1	4	1	1	503
72	go	4	16	1	1	428
73	nogo	3	16	0	1	n/a
74	go	5	10	1	1	418
75	go	9	10	1	1	426
76	go	8	4	1	1	466
77	go	4	10	1	1	408
78	go	7	16	1	1	406
79	go	4	4	1	1	449
80	go	1	4	1	1	469
81	go	2	7	1	1	508
82	go	6	7	1	1	455
83	go	6	10	1	1	367
84	go	4	4	1	1	441
85	go	6	7	1	1	353
86	go	6	13	1	1	344
87	go	9	16	1	1	439
88	go	9	16	1	1	513
89	go	7	7	1	1	437
90	go	6	4	1	1	383
91	go	4	4	1	1	461
92	go	1	13	1	1	417
93	go	7	7	1	1	446
94	nogo	3	4	0	1	n/a
95	nogo	3	13	0	1	n/a
96	go	9	10	1	1	515
97	go	8	7	1	1	368
98	go	2	13	1	1	465
99	go	7	10	1	1	362
100	go	6	16	1	1	315
101	go	6	4	1	1	421
102	go	1	13	1	1	390
103	go	9	4	1	1	429
104	go	9	7	1	1	375
105	nogo	3	4	0	1	n/a
106	go	1	16	1	1	406
107	go	4	16	1	1	393
108	go	1	10	1	1	407
109	go	1	7	1	1	389
110	go	2	7	1	1	533
111	nogo	3	13	0	1	n/a
112	go	6	7	1	1	412
113	go	8	7	1	1	410
114	go	5	4	1	1	495
115	go	9	10	1	1	389
116	nogo	3	4	0	1	n/a
117	go	9	7	1	1	448
118	go	5	16	1	1	420
119	go	5	4	1	1	446
120	go	4	10	1	1	421
121	go	2	7	1	1	419
122	go	6	10	1	1	403
123	go	8	7	1	1	433
124	nogo	3	7	0	1	n/a
125	go	8	16	1	1	355
126	go	4	10	1	1	409
127	go	4	16	1	1	430
128	go	2	10	1	1	479
129	go	5	10	1	1	445
130	go	2	10	1	1	487
131	go	1	13	1	1	408
132	go	1	4	1	1	440
133	go	5	13	1	1	396
134	go	9	4	1	1	401
135	go	5	4	1	1	450
136	go	4	16	1	1	386
