onset	duration	trial_type	rating	response_time	database	identifier
6.247	6.016	vp	1	2.379	iaps	5460
21.144	6.015	vp	1	1.732	iaps	4622
32.442	6.004	vp	1	1.773	iaps	7480
48.523	6.007	dn	1	1.366	iaps	2700
61.604	6.010	dn	1	1.427	iaps	9007
74.696	6.004	dn	3	2.060	iaps	3400
90.780	6.016	ip	2	1.699	iaps	8161
103.479	6.015	ip	3	1.419	iaps	1721
116.977	6.016	ip	3	1.473	iaps	5621
133.074	6.004	vn	2	1.807	iaps	6555
145.856	6.005	vn	1	1.428	iaps	9430
159.228	6.007	vn	1	2.877	iaps	2710
175.311	6.016	dp	2	1.710	iaps	5480
189.312	6.016	dp	2	1.687	iaps	8170
201.511	6.016	dp	2	1.785	iaps	7280
217.609	6.015	in	3	1.781	iaps	6834
231.107	6.015	in	3	1.527	iaps	9341
243.788	6.005	in	3	1.530	iaps	9330
259.852	6.008	vt	n/a	n/a	iaps	7705
272.926	6.005	vt	1	1.794	iaps	7179
286.010	6.016	vt	1	1.064	iaps	7233
302.110	6.016	dn	2	1.479	iaps	9592
316.707	6.016	dn	2	1.408	iaps	9471
328.305	6.003	dn	3	1.814	iaps	9611
344.375	6.026	ip	3	3.181	iaps	4180
358.259	6.007	ip	2	1.946	iaps	2224
370.531	6.011	ip	2	1.384	iaps	8186
386.625	6.016	vn	3	1.514	iaps	6831
400.425	6.016	vn	3	3.498	iaps	2688
412.829	6.011	vn	3	3.132	iaps	9342
428.908	6.012	dp	3	2.220	iaps	1510
443.790	6.010	dp	1	1.908	iaps	7580
455.066	6.008	dp	n/a	n/a	iaps	1650
471.141	6.004	vt	1	1.898	iaps	2393
484.023	6.017	vt	n/a	n/a	iaps	7080
497.324	6.016	vt	1	1.771	iaps	2840
513.422	6.016	in	n/a	n/a	iaps	9400
527.806	6.013	in	2	3.300	iaps	6830
539.572	6.011	in	4	1.789	iaps	7380
555.665	6.008	vp	2	1.075	iaps	8193
570.040	6.005	vp	2	2.798	iaps	8501
581.843	6.012	vp	2	0.893	iaps	5594
